Indicator,Age Group,Male,Female,,both
nMx - age-specific death rate between ages x and x+n,35-39 years,0.006,0.005,drc,0.0055
nMx - age-specific death rate between ages x and x+n,40-44 years,0.007,0.006,drc,0.0065
nMx - age-specific death rate between ages x and x+n,45-49 years,0.009,0.007,drc,0.008
nMx - age-specific death rate between ages x and x+n,50-54 years,0.012,0.009,drc,0.0105
nMx - age-specific death rate between ages x and x+n,55-59 years,0.015,0.012,drc,0.0135
nMx - age-specific death rate between ages x and x+n,60-64 years,0.024,0.019,drc,0.0215
nMx - age-specific death rate between ages x and x+n,65-69 years,0.036,0.031,drc,0.0335
nMx - age-specific death rate between ages x and x+n,70-74 years,0.057,0.05,drc,0.0535
nMx - age-specific death rate between ages x and x+n,75-79 years,0.089,0.08,drc,0.0845
nMx - age-specific death rate between ages x and x+n,80-84 years,0.141,0.129,drc,0.135
nMx - age-specific death rate between ages x and x+n,85+ years,0.248,0.226,drc,0.237
nMx - age-specific death rate between ages x and x+n,<1 year,0.076,0.064,equatorialGuinea,0.07
nMx - age-specific death rate between ages x and x+n,01-04 years,0.007,0.007,equatorialGuinea,0.007
nMx - age-specific death rate between ages x and x+n,05-09 years,0.003,0.003,equatorialGuinea,0.003
nMx - age-specific death rate between ages x and x+n,10-14 years,0.001,0.001,equatorialGuinea,0.001
nMx - age-specific death rate between ages x and x+n,15-19  years,0.003,0.003,equatorialGuinea,0.003
nMx - age-specific death rate between ages x and x+n,20-24 years,0.004,0.003,equatorialGuinea,0.0035
nMx - age-specific death rate between ages x and x+n,25-29 years,0.005,0.004,equatorialGuinea,0.0045
nMx - age-specific death rate between ages x and x+n,30-34 years,0.006,0.005,equatorialGuinea,0.0055
nMx - age-specific death rate between ages x and x+n,35-39 years,0.007,0.006,equatorialGuinea,0.0065
nMx - age-specific death rate between ages x and x+n,40-44 years,0.009,0.007,equatorialGuinea,0.008
nMx - age-specific death rate between ages x and x+n,45-49 years,0.012,0.008,equatorialGuinea,0.01
nMx - age-specific death rate between ages x and x+n,50-54 years,0.016,0.01,equatorialGuinea,0.013
nMx - age-specific death rate between ages x and x+n,55-59 years,0.019,0.013,equatorialGuinea,0.016
nMx - age-specific death rate between ages x and x+n,60-64 years,0.026,0.02,equatorialGuinea,0.023
nMx - age-specific death rate between ages x and x+n,65-69 years,0.037,0.031,equatorialGuinea,0.034
nMx - age-specific death rate between ages x and x+n,70-74 years,0.057,0.05,equatorialGuinea,0.0535
nMx - age-specific death rate between ages x and x+n,75-79 years,0.089,0.079,equatorialGuinea,0.084
nMx - age-specific death rate between ages x and x+n,80-84 years,0.14,0.128,equatorialGuinea,0.134
nMx - age-specific death rate between ages x and x+n,85+ years,0.246,0.225,equatorialGuinea,0.2355
nMx - age-specific death rate between ages x and x+n,<1 year,0.038,0.031,gabon,0.0345
nMx - age-specific death rate between ages x and x+n,01-04 years,0.003,0.003,gabon,0.003
nMx - age-specific death rate between ages x and x+n,05-09 years,0.001,0.001,gabon,0.001
nMx - age-specific death rate between ages x and x+n,10-14 years,0.003,0.002,gabon,0.0025
nMx - age-specific death rate between ages x and x+n,15-19  years,0.002,0.001,gabon,0.0015
nMx - age-specific death rate between ages x and x+n,20-24 years,0.003,0.002,gabon,0.0025
nMx - age-specific death rate between ages x and x+n,25-29 years,0.003,0.003,gabon,0.003
nMx - age-specific death rate between ages x and x+n,30-34 years,0.004,0.003,gabon,0.0035
nMx - age-specific death rate between ages x and x+n,35-39 years,0.005,0.005,gabon,0.005
nMx - age-specific death rate between ages x and x+n,40-44 years,0.006,0.006,gabon,0.006
nMx - age-specific death rate between ages x and x+n,45-49 years,0.007,0.006,gabon,0.0065
nMx - age-specific death rate between ages x and x+n,50-54 years,0.011,0.008,gabon,0.0095
nMx - age-specific death rate between ages x and x+n,55-59 years,0.014,0.01,gabon,0.012
nMx - age-specific death rate between ages x and x+n,60-64 years,0.021,0.015,gabon,0.018
nMx - age-specific death rate between ages x and x+n,65-69 years,0.031,0.024,gabon,0.0275
nMx - age-specific death rate between ages x and x+n,70-74 years,0.048,0.039,gabon,0.0435
nMx - age-specific death rate between ages x and x+n,75-79 years,0.077,0.065,gabon,0.071
nMx - age-specific death rate between ages x and x+n,80-84 years,0.125,0.11,gabon,0.1175
nMx - age-specific death rate between ages x and x+n,85+ years,0.227,0.207,gabon,0.217
nMx - age-specific death rate between ages x and x+n,<1 year,0.058,0.047,burundi,0.0525
nMx - age-specific death rate between ages x and x+n,01-04 years,0.006,0.006,burundi,0.006
nMx - age-specific death rate between ages x and x+n,05-09 years,0.004,0.004,burundi,0.004
nMx - age-specific death rate between ages x and x+n,10-14 years,0.002,0.003,burundi,0.0025
nMx - age-specific death rate between ages x and x+n,15-19  years,0.003,0.003,burundi,0.003
nMx - age-specific death rate between ages x and x+n,20-24 years,0.005,0.004,burundi,0.0045
nMx - age-specific death rate between ages x and x+n,25-29 years,0.005,0.004,burundi,0.0045
nMx - age-specific death rate between ages x and x+n,30-34 years,0.006,0.005,burundi,0.0055
nMx - age-specific death rate between ages x and x+n,35-39 years,0.007,0.006,burundi,0.0065
nMx - age-specific death rate between ages x and x+n,40-44 years,0.009,0.007,burundi,0.008
nMx - age-specific death rate between ages x and x+n,45-49 years,0.011,0.008,burundi,0.0095
nMx - age-specific death rate between ages x and x+n,50-54 years,0.014,0.01,burundi,0.012
nMx - age-specific death rate between ages x and x+n,55-59 years,0.018,0.014,burundi,0.016
nMx - age-specific death rate between ages x and x+n,60-64 years,0.025,0.02,burundi,0.0225
nMx - age-specific death rate between ages x and x+n,65-69 years,0.038,0.032,burundi,0.035
nMx - age-specific death rate between ages x and x+n,70-74 years,0.06,0.051,burundi,0.0555
nMx - age-specific death rate between ages x and x+n,75-79 years,0.094,0.082,burundi,0.088
nMx - age-specific death rate between ages x and x+n,80-84 years,0.148,0.131,burundi,0.1395
nMx - age-specific death rate between ages x and x+n,85+ years,0.255,0.229,burundi,0.242
nMx - age-specific death rate between ages x and x+n,<1 year,0.061,0.053,comoros,0.057
nMx - age-specific death rate between ages x and x+n,01-04 years,0.005,0.005,comoros,0.005
nMx - age-specific death rate between ages x and x+n,05-09 years,0.001,0.001,comoros,0.001
nMx - age-specific death rate between ages x and x+n,10-14 years,0.001,0.001,comoros,0.001
nMx - age-specific death rate between ages x and x+n,15-19  years,0.002,0.002,comoros,0.002
nMx - age-specific death rate between ages x and x+n,20-24 years,0.003,0.002,comoros,0.0025
nMx - age-specific death rate between ages x and x+n,25-29 years,0.003,0.003,comoros,0.003
nMx - age-specific death rate between ages x and x+n,30-34 years,0.003,0.003,comoros,0.003
nMx - age-specific death rate between ages x and x+n,35-39 years,0.004,0.004,comoros,0.004
nMx - age-specific death rate between ages x and x+n,40-44 years,0.005,0.004,comoros,0.0045
nMx - age-specific death rate between ages x and x+n,45-49 years,0.008,0.006,comoros,0.007
nMx - age-specific death rate between ages x and x+n,50-54 years,0.012,0.009,comoros,0.0105
nMx - age-specific death rate between ages x and x+n,55-59 years,0.018,0.013,comoros,0.0155
nMx - age-specific death rate between ages x and x+n,60-64 years,0.027,0.019,comoros,0.023
nMx - age-specific death rate between ages x and x+n,65-69 years,0.041,0.031,comoros,0.036
nMx - age-specific death rate between ages x and x+n,70-74 years,0.063,0.051,comoros,0.057
nMx - age-specific death rate between ages x and x+n,75-79 years,0.099,0.084,comoros,0.0915
nMx - age-specific death rate between ages x and x+n,80-84 years,0.155,0.137,comoros,0.146
nMx - age-specific death rate between ages x and x+n,85+ years,0.264,0.241,comoros,0.2525
nMx - age-specific death rate between ages x and x+n,<1 year,0.059,0.05,djibouti,0.0545
nMx - age-specific death rate between ages x and x+n,01-04 years,0.003,0.003,djibouti,0.003
nMx - age-specific death rate between ages x and x+n,05-09 years,0.003,0.002,djibouti,0.0025
nMx - age-specific death rate between ages x and x+n,10-14 years,0.002,0.001,djibouti,0.0015
nMx - age-specific death rate between ages x and x+n,15-19  years,0.003,0.002,djibouti,0.0025
nMx - age-specific death rate between ages x and x+n,20-24 years,0.004,0.002,djibouti,0.003
nMx - age-specific death rate between ages x and x+n,25-29 years,0.004,0.003,djibouti,0.0035
nMx - age-specific death rate between ages x and x+n,30-34 years,0.004,0.004,djibouti,0.004
nMx - age-specific death rate between ages x and x+n,35-39 years,0.006,0.005,djibouti,0.0055
nMx - age-specific death rate between ages x and x+n,40-44 years,0.007,0.007,djibouti,0.007
nMx - age-specific death rate between ages x and x+n,45-49 years,0.009,0.007,djibouti,0.008
nMx - age-specific death rate between ages x and x+n,50-54 years,0.011,0.009,djibouti,0.01
nMx - age-specific death rate between ages x and x+n,55-59 years,0.015,0.011,djibouti,0.013
nMx - age-specific death rate between ages x and x+n,60-64 years,0.022,0.017,djibouti,0.0195
nMx - age-specific death rate between ages x and x+n,65-69 years,0.033,0.027,djibouti,0.03
nMx - age-specific death rate between ages x and x+n,70-74 years,0.052,0.045,djibouti,0.0485
nMx - age-specific death rate between ages x and x+n,75-79 years,0.083,0.073,djibouti,0.078
nMx - age-specific death rate between ages x and x+n,80-84 years,0.133,0.12,djibouti,0.1265
nMx - age-specific death rate between ages x and x+n,85+ years,0.238,0.218,djibouti,0.228
nMx - age-specific death rate between ages x and x+n,<1 year,0.039,0.031,eritrea,0.035
nMx - age-specific death rate between ages x and x+n,01-04 years,0.003,0.003,eritrea,0.003
nMx - age-specific death rate between ages x and x+n,05-09 years,0.002,0.002,eritrea,0.002
nMx - age-specific death rate between ages x and x+n,10-14 years,0.001,0.001,eritrea,0.001
nMx - age-specific death rate between ages x and x+n,15-19  years,0.002,0.001,eritrea,0.0015
nMx - age-specific death rate between ages x and x+n,20-24 years,0.002,0.001,eritrea,0.0015
nMx - age-specific death rate between ages x and x+n,25-29 years,0.003,0.002,eritrea,0.0025
nMx - age-specific death rate between ages x and x+n,30-34 years,0.004,0.003,eritrea,0.0035
nMx - age-specific death rate between ages x and x+n,35-39 years,0.004,0.004,eritrea,0.004
nMx - age-specific death rate between ages x and x+n,40-44 years,0.007,0.005,eritrea,0.006
nMx - age-specific death rate between ages x and x+n,45-49 years,0.01,0.007,eritrea,0.0085
nMx - age-specific death rate between ages x and x+n,50-54 years,0.015,0.01,eritrea,0.0125
nMx - age-specific death rate between ages x and x+n,55-59 years,0.021,0.015,eritrea,0.018
nMx - age-specific death rate between ages x and x+n,60-64 years,0.03,0.022,eritrea,0.026
nMx - age-specific death rate between ages x and x+n,65-69 years,0.042,0.034,eritrea,0.038
nMx - age-specific death rate between ages x and x+n,70-74 years,0.066,0.051,eritrea,0.0585
nMx - age-specific death rate between ages x and x+n,75-79 years,0.091,0.077,eritrea,0.084
nMx - age-specific death rate between ages x and x+n,80-84 years,0.145,0.117,eritrea,0.131
nMx - age-specific death rate between ages x and x+n,85+ years,0.23,0.196,eritrea,0.213
nMx - age-specific death rate between ages x and x+n,<1 year,0.046,0.037,ethiopia,0.0415
nMx - age-specific death rate between ages x and x+n,01-04 years,0.005,0.004,ethiopia,0.0045
nMx - age-specific death rate between ages x and x+n,05-09 years,0.003,0.002,ethiopia,0.0025
nMx - age-specific death rate between ages x and x+n,10-14 years,0.001,0.001,ethiopia,0.001
nMx - age-specific death rate between ages x and x+n,15-19  years,0.002,0.002,ethiopia,0.002
nMx - age-specific death rate between ages x and x+n,20-24 years,0.003,0.002,ethiopia,0.0025
nMx - age-specific death rate between ages x and x+n,25-29 years,0.003,0.002,ethiopia,0.0025
nMx - age-specific death rate between ages x and x+n,30-34 years,0.004,0.003,ethiopia,0.0035
nMx - age-specific death rate between ages x and x+n,35-39 years,0.005,0.005,ethiopia,0.005
nMx - age-specific death rate between ages x and x+n,40-44 years,0.006,0.006,ethiopia,0.006
nMx - age-specific death rate between ages x and x+n,45-49 years,0.008,0.006,ethiopia,0.007
nMx - age-specific death rate between ages x and x+n,50-54 years,0.01,0.008,ethiopia,0.009
nMx - age-specific death rate between ages x and x+n,55-59 years,0.013,0.01,ethiopia,0.0115
nMx - age-specific death rate between ages x and x+n,60-64 years,0.02,0.015,ethiopia,0.0175
nMx - age-specific death rate between ages x and x+n,65-69 years,0.031,0.025,ethiopia,0.028
nMx - age-specific death rate between ages x and x+n,70-74 years,0.049,0.042,ethiopia,0.0455
nMx - age-specific death rate between ages x and x+n,75-79 years,0.079,0.069,ethiopia,0.074
nMx - age-specific death rate between ages x and x+n,80-84 years,0.126,0.114,ethiopia,0.12
nMx - age-specific death rate between ages x and x+n,85+ years,0.229,0.21,ethiopia,0.2195
nMx - age-specific death rate between ages x and x+n,<1 year,0.041,0.034,kenya,0.0375
nMx - age-specific death rate between ages x and x+n,01-04 years,0.004,0.003,kenya,0.0035
nMx - age-specific death rate between ages x and x+n,05-09 years,0.002,0.001,kenya,0.0015
nMx - age-specific death rate between ages x and x+n,10-14 years,0.001,0.001,kenya,0.001
nMx - age-specific death rate between ages x and x+n,15-19  years,0.002,0.001,kenya,0.0015
nMx - age-specific death rate between ages x and x+n,20-24 years,0.003,0.002,kenya,0.0025
nMx - age-specific death rate between ages x and x+n,25-29 years,0.004,0.003,kenya,0.0035
nMx - age-specific death rate between ages x and x+n,30-34 years,0.004,0.003,kenya,0.0035
nMx - age-specific death rate between ages x and x+n,35-39 years,0.006,0.004,kenya,0.005
nMx - age-specific death rate between ages x and x+n,40-44 years,0.007,0.005,kenya,0.006
nMx - age-specific death rate between ages x and x+n,45-49 years,0.008,0.006,kenya,0.007
nMx - age-specific death rate between ages x and x+n,50-54 years,0.011,0.007,kenya,0.009
nMx - age-specific death rate between ages x and x+n,55-59 years,0.013,0.009,kenya,0.011
nMx - age-specific death rate between ages x and x+n,60-64 years,0.02,0.014,kenya,0.017
nMx - age-specific death rate between ages x and x+n,65-69 years,0.03,0.023,kenya,0.0265
nMx - age-specific death rate between ages x and x+n,70-74 years,0.047,0.038,kenya,0.0425
nMx - age-specific death rate between ages x and x+n,75-79 years,0.075,0.064,kenya,0.0695
nMx - age-specific death rate between ages x and x+n,80-84 years,0.122,0.108,kenya,0.115
nMx - age-specific death rate between ages x and x+n,85+ years,0.226,0.205,kenya,0.2155
nMx - age-specific death rate between ages x and x+n,<1 year,0.039,0.032,madagascar,0.0355
nMx - age-specific death rate between ages x and x+n,01-04 years,0.003,0.003,madagascar,0.003
nMx - age-specific death rate between ages x and x+n,05-09 years,0.002,0.002,madagascar,0.002
nMx - age-specific death rate between ages x and x+n,10-14 years,0.001,0.001,madagascar,0.001
nMx - age-specific death rate between ages x and x+n,15-19  years,0.002,0.002,madagascar,0.002
nMx - age-specific death rate between ages x and x+n,20-24 years,0.002,0.002,madagascar,0.002
nMx - age-specific death rate between ages x and x+n,25-29 years,0.003,0.002,madagascar,0.0025
nMx - age-specific death rate between ages x and x+n,30-34 years,0.003,0.003,madagascar,0.003
nMx - age-specific death rate between ages x and x+n,35-39 years,0.004,0.004,madagascar,0.004
nMx - age-specific death rate between ages x and x+n,40-44 years,0.006,0.005,madagascar,0.0055
nMx - age-specific death rate between ages x and x+n,45-49 years,0.008,0.006,madagascar,0.007
nMx - age-specific death rate between ages x and x+n,50-54 years,0.011,0.008,madagascar,0.0095
nMx - age-specific death rate between ages x and x+n,55-59 years,0.015,0.011,madagascar,0.013
nMx - age-specific death rate between ages x and x+n,60-64 years,0.023,0.018,madagascar,0.0205
nMx - age-specific death rate between ages x and x+n,65-69 years,0.037,0.03,madagascar,0.0335
nMx - age-specific death rate between ages x and x+n,70-74 years,0.058,0.05,madagascar,0.054
nMx - age-specific death rate between ages x and x+n,75-79 years,0.089,0.079,madagascar,0.084
nMx - age-specific death rate between ages x and x+n,80-84 years,0.133,0.123,madagascar,0.128
nMx - age-specific death rate between ages x and x+n,85+ years,0.222,0.214,madagascar,0.218
nMx - age-specific death rate between ages x and x+n,<1 year,0.047,0.039,malawi,0.043
nMx - age-specific death rate between ages x and x+n,01-04 years,0.005,0.004,malawi,0.0045
nMx - age-specific death rate between ages x and x+n,05-09 years,0.002,0.001,malawi,0.0015
nMx - age-specific death rate between ages x and x+n,10-14 years,0.001,0.001,malawi,0.001
nMx - age-specific death rate between ages x and x+n,15-19  years,0.002,0.002,malawi,0.002
nMx - age-specific death rate between ages x and x+n,20-24 years,0.002,0.002,malawi,0.002
nMx - age-specific death rate between ages x and x+n,25-29 years,0.003,0.003,malawi,0.003
nMx - age-specific death rate between ages x and x+n,30-34 years,0.004,0.004,malawi,0.004
nMx - age-specific death rate between ages x and x+n,35-39 years,0.007,0.005,malawi,0.006
nMx - age-specific death rate between ages x and x+n,40-44 years,0.01,0.007,malawi,0.0085
nMx - age-specific death rate between ages x and x+n,45-49 years,0.012,0.006,malawi,0.009
nMx - age-specific death rate between ages x and x+n,50-54 years,0.015,0.007,malawi,0.011
nMx - age-specific death rate between ages x and x+n,55-59 years,0.019,0.009,malawi,0.014
nMx - age-specific death rate between ages x and x+n,60-64 years,0.024,0.014,malawi,0.019
nMx - age-specific death rate between ages x and x+n,65-69 years,0.035,0.023,malawi,0.029
nMx - age-specific death rate between ages x and x+n,70-74 years,0.056,0.041,malawi,0.0485
nMx - age-specific death rate between ages x and x+n,75-79 years,0.097,0.076,malawi,0.0865
nMx - age-specific death rate between ages x and x+n,80-84 years,0.163,0.138,malawi,0.1505
nMx - age-specific death rate between ages x and x+n,85+ years,0.292,0.259,malawi,0.2755
nMx - age-specific death rate between ages x and x+n,<1 year,0.06,0.052,mozambique,0.056
nMx - age-specific death rate between ages x and x+n,01-04 years,0.005,0.005,mozambique,0.005
nMx - age-specific death rate between ages x and x+n,05-09 years,0.002,0.002,mozambique,0.002
nMx - age-specific death rate between ages x and x+n,10-14 years,0.002,0.002,mozambique,0.002
nMx - age-specific death rate between ages x and x+n,15-19  years,0.003,0.002,mozambique,0.0025
nMx - age-specific death rate between ages x and x+n,20-24 years,0.004,0.003,mozambique,0.0035
nMx - age-specific death rate between ages x and x+n,25-29 years,0.005,0.005,mozambique,0.005
nMx - age-specific death rate between ages x and x+n,30-34 years,0.008,0.006,mozambique,0.007
nMx - age-specific death rate between ages x and x+n,35-39 years,0.013,0.009,mozambique,0.011
nMx - age-specific death rate between ages x and x+n,40-44 years,0.016,0.01,mozambique,0.013
nMx - age-specific death rate between ages x and x+n,45-49 years,0.015,0.01,mozambique,0.0125
nMx - age-specific death rate between ages x and x+n,50-54 years,0.016,0.011,mozambique,0.0135
nMx - age-specific death rate between ages x and x+n,55-59 years,0.017,0.012,mozambique,0.0145
nMx - age-specific death rate between ages x and x+n,60-64 years,0.023,0.017,mozambique,0.02
nMx - age-specific death rate between ages x and x+n,65-69 years,0.033,0.026,mozambique,0.0295
nMx - age-specific death rate between ages x and x+n,70-74 years,0.05,0.042,mozambique,0.046
nMx - age-specific death rate between ages x and x+n,75-79 years,0.079,0.069,mozambique,0.074
nMx - age-specific death rate between ages x and x+n,80-84 years,0.127,0.115,mozambique,0.121
nMx - age-specific death rate between ages x and x+n,85+ years,0.23,0.212,mozambique,0.221
nMx - age-specific death rate between ages x and x+n,<1 year,0.034,0.028,rwanda,0.031
nMx - age-specific death rate between ages x and x+n,01-04 years,0.003,0.002,rwanda,0.0025
nMx - age-specific death rate between ages x and x+n,05-09 years,0.002,0.001,rwanda,0.0015
nMx - age-specific death rate between ages x and x+n,10-14 years,0.001,0.001,rwanda,0.001
nMx - age-specific death rate between ages x and x+n,15-19  years,0.002,0.001,rwanda,0.0015
nMx - age-specific death rate between ages x and x+n,20-24 years,0.003,0.002,rwanda,0.0025
nMx - age-specific death rate between ages x and x+n,25-29 years,0.003,0.002,rwanda,0.0025
nMx - age-specific death rate between ages x and x+n,30-34 years,0.004,0.003,rwanda,0.0035
nMx - age-specific death rate between ages x and x+n,35-39 years,0.004,0.003,rwanda,0.0035
nMx - age-specific death rate between ages x and x+n,40-44 years,0.005,0.004,rwanda,0.0045
nMx - age-specific death rate between ages x and x+n,45-49 years,0.007,0.005,rwanda,0.006
nMx - age-specific death rate between ages x and x+n,50-54 years,0.01,0.007,rwanda,0.0085
nMx - age-specific death rate between ages x and x+n,55-59 years,0.013,0.009,rwanda,0.011
nMx - age-specific death rate between ages x and x+n,60-64 years,0.019,0.014,rwanda,0.0165
nMx - age-specific death rate between ages x and x+n,65-69 years,0.03,0.023,rwanda,0.0265
nMx - age-specific death rate between ages x and x+n,70-74 years,0.047,0.039,rwanda,0.043
nMx - age-specific death rate between ages x and x+n,75-79 years,0.076,0.066,rwanda,0.071
nMx - age-specific death rate between ages x and x+n,80-84 years,0.124,0.111,rwanda,0.1175
nMx - age-specific death rate between ages x and x+n,85+ years,0.228,0.208,rwanda,0.218
nMx - age-specific death rate between ages x and x+n,<1 year,0.096,0.083,somalia,0.0895
nMx - age-specific death rate between ages x and x+n,01-04 years,0.014,0.014,somalia,0.014
nMx - age-specific death rate between ages x and x+n,05-09 years,0.004,0.004,somalia,0.004
nMx - age-specific death rate between ages x and x+n,10-14 years,0.002,0.001,somalia,0.0015
nMx - age-specific death rate between ages x and x+n,15-19  years,0.004,0.003,somalia,0.0035
nMx - age-specific death rate between ages x and x+n,20-24 years,0.006,0.004,somalia,0.005
nMx - age-specific death rate between ages x and x+n,25-29 years,0.007,0.005,somalia,0.006
nMx - age-specific death rate between ages x and x+n,30-34 years,0.008,0.006,somalia,0.007
nMx - age-specific death rate between ages x and x+n,35-39 years,0.009,0.007,somalia,0.008
nMx - age-specific death rate between ages x and x+n,40-44 years,0.01,0.008,somalia,0.009
nMx - age-specific death rate between ages x and x+n,45-49 years,0.011,0.009,somalia,0.01
nMx - age-specific death rate between ages x and x+n,50-54 years,0.014,0.011,somalia,0.0125
nMx - age-specific death rate between ages x and x+n,55-59 years,0.018,0.014,somalia,0.016
nMx - age-specific death rate between ages x and x+n,60-64 years,0.025,0.021,somalia,0.023
nMx - age-specific death rate between ages x and x+n,65-69 years,0.04,0.034,somalia,0.037
nMx - age-specific death rate between ages x and x+n,70-74 years,0.062,0.054,somalia,0.058
nMx - age-specific death rate between ages x and x+n,75-79 years,0.097,0.086,somalia,0.0915
nMx - age-specific death rate between ages x and x+n,80-84 years,0.148,0.134,somalia,0.141
