Indicator,Age Group,Male,Female,,both
nMx - age-specific death rate between ages x and x+n,85+ years,0.151,0.13,bhutan,0.1405
nMx - age-specific death rate between ages x and x+n,<1 year,0.035,0.039,india,0.037
nMx - age-specific death rate between ages x and x+n,01-04 years,0.002,0.003,india,0.0025
nMx - age-specific death rate between ages x and x+n,05-09 years,0.001,0.001,india,0.001
nMx - age-specific death rate between ages x and x+n,10-14 years,0.001,0.001,india,0.001
nMx - age-specific death rate between ages x and x+n,15-19  years,0.001,0.001,india,0.001
nMx - age-specific death rate between ages x and x+n,20-24 years,0.002,0.002,india,0.002
nMx - age-specific death rate between ages x and x+n,25-29 years,0.002,0.002,india,0.002
nMx - age-specific death rate between ages x and x+n,30-34 years,0.003,0.002,india,0.0025
nMx - age-specific death rate between ages x and x+n,35-39 years,0.004,0.002,india,0.003
nMx - age-specific death rate between ages x and x+n,40-44 years,0.005,0.003,india,0.004
nMx - age-specific death rate between ages x and x+n,45-49 years,0.007,0.004,india,0.0055
nMx - age-specific death rate between ages x and x+n,50-54 years,0.01,0.006,india,0.008
nMx - age-specific death rate between ages x and x+n,55-59 years,0.015,0.009,india,0.012
nMx - age-specific death rate between ages x and x+n,60-64 years,0.022,0.017,india,0.0195
nMx - age-specific death rate between ages x and x+n,65-69 years,0.036,0.028,india,0.032
nMx - age-specific death rate between ages x and x+n,70-74 years,0.054,0.045,india,0.0495
nMx - age-specific death rate between ages x and x+n,75-79 years,0.078,0.066,india,0.072
nMx - age-specific death rate between ages x and x+n,80-84 years,0.108,0.101,india,0.1045
nMx - age-specific death rate between ages x and x+n,85+ years,0.186,0.176,india,0.181
nMx - age-specific death rate between ages x and x+n,<1 year,0.031,0.029,nepal,0.03
nMx - age-specific death rate between ages x and x+n,01-04 years,0.002,0.002,nepal,0.002
nMx - age-specific death rate between ages x and x+n,05-09 years,0.001,0.001,nepal,0.001
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,nepal,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0.001,0.001,nepal,0.001
nMx - age-specific death rate between ages x and x+n,20-24 years,0.001,0.001,nepal,0.001
nMx - age-specific death rate between ages x and x+n,25-29 years,0.001,0.001,nepal,0.001
nMx - age-specific death rate between ages x and x+n,30-34 years,0.002,0.001,nepal,0.0015
nMx - age-specific death rate between ages x and x+n,35-39 years,0.002,0.002,nepal,0.002
nMx - age-specific death rate between ages x and x+n,40-44 years,0.003,0.003,nepal,0.003
nMx - age-specific death rate between ages x and x+n,45-49 years,0.005,0.004,nepal,0.0045
nMx - age-specific death rate between ages x and x+n,50-54 years,0.008,0.006,nepal,0.007
nMx - age-specific death rate between ages x and x+n,55-59 years,0.013,0.009,nepal,0.011
nMx - age-specific death rate between ages x and x+n,60-64 years,0.021,0.015,nepal,0.018
nMx - age-specific death rate between ages x and x+n,65-69 years,0.034,0.025,nepal,0.0295
nMx - age-specific death rate between ages x and x+n,70-74 years,0.055,0.043,nepal,0.049
nMx - age-specific death rate between ages x and x+n,75-79 years,0.088,0.073,nepal,0.0805
nMx - age-specific death rate between ages x and x+n,80-84 years,0.142,0.125,nepal,0.1335
nMx - age-specific death rate between ages x and x+n,85+ years,0.252,0.231,nepal,0.2415
nMx - age-specific death rate between ages x and x+n,<1 year,0.07,0.066,pakistan,0.068
nMx - age-specific death rate between ages x and x+n,01-04 years,0.004,0.004,pakistan,0.004
nMx - age-specific death rate between ages x and x+n,05-09 years,0.001,0.001,pakistan,0.001
nMx - age-specific death rate between ages x and x+n,10-14 years,0.001,0.001,pakistan,0.001
nMx - age-specific death rate between ages x and x+n,15-19  years,0.001,0.001,pakistan,0.001
nMx - age-specific death rate between ages x and x+n,20-24 years,0.001,0.001,pakistan,0.001
nMx - age-specific death rate between ages x and x+n,25-29 years,0.002,0.001,pakistan,0.0015
nMx - age-specific death rate between ages x and x+n,30-34 years,0.002,0.001,pakistan,0.0015
nMx - age-specific death rate between ages x and x+n,35-39 years,0.003,0.002,pakistan,0.0025
nMx - age-specific death rate between ages x and x+n,40-44 years,0.004,0.003,pakistan,0.0035
nMx - age-specific death rate between ages x and x+n,45-49 years,0.005,0.004,pakistan,0.0045
nMx - age-specific death rate between ages x and x+n,50-54 years,0.008,0.006,pakistan,0.007
nMx - age-specific death rate between ages x and x+n,55-59 years,0.013,0.01,pakistan,0.0115
nMx - age-specific death rate between ages x and x+n,60-64 years,0.019,0.016,pakistan,0.0175
nMx - age-specific death rate between ages x and x+n,65-69 years,0.031,0.027,pakistan,0.029
nMx - age-specific death rate between ages x and x+n,70-74 years,0.048,0.045,pakistan,0.0465
nMx - age-specific death rate between ages x and x+n,75-79 years,0.077,0.075,pakistan,0.076
nMx - age-specific death rate between ages x and x+n,80-84 years,0.122,0.126,pakistan,0.124
nMx - age-specific death rate between ages x and x+n,85+ years,0.226,0.242,pakistan,0.234
