Indicator,Age Group,Male,Female,,both
nMx - age-specific death rate between ages x and x+n,25-29 years,0,0,singapore,0
nMx - age-specific death rate between ages x and x+n,30-34 years,0.001,0,singapore,0.0005
nMx - age-specific death rate between ages x and x+n,35-39 years,0.001,0,singapore,0.0005
nMx - age-specific death rate between ages x and x+n,40-44 years,0.001,0.001,singapore,0.001
nMx - age-specific death rate between ages x and x+n,45-49 years,0.002,0.001,singapore,0.0015
nMx - age-specific death rate between ages x and x+n,50-54 years,0.003,0.002,singapore,0.0025
nMx - age-specific death rate between ages x and x+n,55-59 years,0.005,0.003,singapore,0.004
nMx - age-specific death rate between ages x and x+n,60-64 years,0.009,0.005,singapore,0.007
nMx - age-specific death rate between ages x and x+n,65-69 years,0.013,0.007,singapore,0.01
nMx - age-specific death rate between ages x and x+n,70-74 years,0.026,0.014,singapore,0.02
nMx - age-specific death rate between ages x and x+n,75-79 years,0.04,0.024,singapore,0.032
nMx - age-specific death rate between ages x and x+n,80-84 years,0.064,0.046,singapore,0.055
nMx - age-specific death rate between ages x and x+n,85+ years,0.15,0.131,singapore,0.1405
nMx - age-specific death rate between ages x and x+n,<1 year,0.003,0.003,southkorea,0.003
nMx - age-specific death rate between ages x and x+n,01-04 years,0,0,southkorea,0
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,southkorea,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,southkorea,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0,0,southkorea,0
nMx - age-specific death rate between ages x and x+n,20-24 years,0,0,southkorea,0
nMx - age-specific death rate between ages x and x+n,25-29 years,0.001,0,southkorea,0.0005
nMx - age-specific death rate between ages x and x+n,30-34 years,0.001,0,southkorea,0.0005
nMx - age-specific death rate between ages x and x+n,35-39 years,0.001,0.001,southkorea,0.001
nMx - age-specific death rate between ages x and x+n,40-44 years,0.002,0.001,southkorea,0.0015
nMx - age-specific death rate between ages x and x+n,45-49 years,0.003,0.001,southkorea,0.002
nMx - age-specific death rate between ages x and x+n,50-54 years,0.005,0.002,southkorea,0.0035
nMx - age-specific death rate between ages x and x+n,55-59 years,0.006,0.002,southkorea,0.004
nMx - age-specific death rate between ages x and x+n,60-64 years,0.009,0.003,southkorea,0.006
nMx - age-specific death rate between ages x and x+n,65-69 years,0.012,0.005,southkorea,0.0085
nMx - age-specific death rate between ages x and x+n,70-74 years,0.026,0.011,southkorea,0.0185
nMx - age-specific death rate between ages x and x+n,75-79 years,0.043,0.022,southkorea,0.0325
nMx - age-specific death rate between ages x and x+n,80-84 years,0.075,0.044,southkorea,0.0595
nMx - age-specific death rate between ages x and x+n,85+ years,0.168,0.134,southkorea,0.151
nMx - age-specific death rate between ages x and x+n,<1 year,0.005,0.004,canada,0.0045
nMx - age-specific death rate between ages x and x+n,01-04 years,0,0,canada,0
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,canada,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,canada,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0,0,canada,0
nMx - age-specific death rate between ages x and x+n,20-24 years,0.001,0,canada,0.0005
nMx - age-specific death rate between ages x and x+n,25-29 years,0.001,0,canada,0.0005
nMx - age-specific death rate between ages x and x+n,30-34 years,0.001,0,canada,0.0005
nMx - age-specific death rate between ages x and x+n,35-39 years,0.001,0.001,canada,0.001
nMx - age-specific death rate between ages x and x+n,40-44 years,0.001,0.001,canada,0.001
nMx - age-specific death rate between ages x and x+n,45-49 years,0.002,0.001,canada,0.0015
nMx - age-specific death rate between ages x and x+n,50-54 years,0.003,0.002,canada,0.0025
nMx - age-specific death rate between ages x and x+n,55-59 years,0.006,0.004,canada,0.005
nMx - age-specific death rate between ages x and x+n,60-64 years,0.009,0.005,canada,0.007
nMx - age-specific death rate between ages x and x+n,65-69 years,0.013,0.008,canada,0.0105
nMx - age-specific death rate between ages x and x+n,70-74 years,0.021,0.014,canada,0.0175
nMx - age-specific death rate between ages x and x+n,75-79 years,0.034,0.023,canada,0.0285
nMx - age-specific death rate between ages x and x+n,80-84 years,0.055,0.04,canada,0.0475
nMx - age-specific death rate between ages x and x+n,85+ years,0.145,0.125,canada,0.135
nMx - age-specific death rate between ages x and x+n,<1 year,0.006,0.005,usa,0.0055
nMx - age-specific death rate between ages x and x+n,01-04 years,0,0,usa,0
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,usa,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,usa,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0.001,0,usa,0.0005
nMx - age-specific death rate between ages x and x+n,20-24 years,0.001,0.001,usa,0.001
nMx - age-specific death rate between ages x and x+n,25-29 years,0.002,0.001,usa,0.0015
nMx - age-specific death rate between ages x and x+n,30-34 years,0.002,0.001,usa,0.0015
nMx - age-specific death rate between ages x and x+n,35-39 years,0.002,0.001,usa,0.0015
nMx - age-specific death rate between ages x and x+n,40-44 years,0.003,0.002,usa,0.0025
nMx - age-specific death rate between ages x and x+n,45-49 years,0.004,0.003,usa,0.0035
nMx - age-specific death rate between ages x and x+n,50-54 years,0.006,0.004,usa,0.005
nMx - age-specific death rate between ages x and x+n,55-59 years,0.009,0.006,usa,0.0075
nMx - age-specific death rate between ages x and x+n,60-64 years,0.014,0.008,usa,0.011
nMx - age-specific death rate between ages x and x+n,65-69 years,0.019,0.012,usa,0.0155
nMx - age-specific death rate between ages x and x+n,70-74 years,0.029,0.019,usa,0.024
nMx - age-specific death rate between ages x and x+n,75-79 years,0.043,0.031,usa,0.037
nMx - age-specific death rate between ages x and x+n,80-84 years,0.071,0.052,usa,0.0615
nMx - age-specific death rate between ages x and x+n,85+ years,0.157,0.136,usa,0.1465
nMx - age-specific death rate between ages x and x+n,<1 year,0.011,0.009,argentina,0.01
nMx - age-specific death rate between ages x and x+n,01-04 years,0,0,argentina,0
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,argentina,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,argentina,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0.001,0,argentina,0.0005
nMx - age-specific death rate between ages x and x+n,20-24 years,0.002,0.001,argentina,0.0015
nMx - age-specific death rate between ages x and x+n,25-29 years,0.001,0.001,argentina,0.001
nMx - age-specific death rate between ages x and x+n,30-34 years,0.002,0.001,argentina,0.0015
nMx - age-specific death rate between ages x and x+n,35-39 years,0.002,0.001,argentina,0.0015
nMx - age-specific death rate between ages x and x+n,40-44 years,0.003,0.002,argentina,0.0025
nMx - age-specific death rate between ages x and x+n,45-49 years,0.004,0.002,argentina,0.003
nMx - age-specific death rate between ages x and x+n,50-54 years,0.006,0.004,argentina,0.005
nMx - age-specific death rate between ages x and x+n,55-59 years,0.011,0.006,argentina,0.0085
nMx - age-specific death rate between ages x and x+n,60-64 years,0.017,0.009,argentina,0.013
nMx - age-specific death rate between ages x and x+n,65-69 years,0.026,0.014,argentina,0.02
nMx - age-specific death rate between ages x and x+n,70-74 years,0.039,0.021,argentina,0.03
nMx - age-specific death rate between ages x and x+n,75-79 years,0.059,0.033,argentina,0.046
nMx - age-specific death rate between ages x and x+n,80-84 years,0.102,0.06,argentina,0.081
nMx - age-specific death rate between ages x and x+n,85+ years,0.188,0.141,argentina,0.1645
nMx - age-specific death rate between ages x and x+n,<1 year,0.008,0.007,chile,0.0075
nMx - age-specific death rate between ages x and x+n,01-04 years,0,0,chile,0
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,chile,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,chile,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0.001,0,chile,0.0005
nMx - age-specific death rate between ages x and x+n,20-24 years,0.001,0,chile,0.0005
nMx - age-specific death rate between ages x and x+n,25-29 years,0.001,0,chile,0.0005
nMx - age-specific death rate between ages x and x+n,30-34 years,0.001,0,chile,0.0005
nMx - age-specific death rate between ages x and x+n,35-39 years,0.002,0.001,chile,0.0015
nMx - age-specific death rate between ages x and x+n,40-44 years,0.002,0.001,chile,0.0015
nMx - age-specific death rate between ages x and x+n,45-49 years,0.003,0.002,chile,0.0025
nMx - age-specific death rate between ages x and x+n,50-54 years,0.006,0.003,chile,0.0045
nMx - age-specific death rate between ages x and x+n,55-59 years,0.008,0.004,chile,0.006
nMx - age-specific death rate between ages x and x+n,60-64 years,0.011,0.007,chile,0.009
nMx - age-specific death rate between ages x and x+n,65-69 years,0.021,0.012,chile,0.0165
nMx - age-specific death rate between ages x and x+n,70-74 years,0.031,0.019,chile,0.025
nMx - age-specific death rate between ages x and x+n,75-79 years,0.049,0.029,chile,0.039
nMx - age-specific death rate between ages x and x+n,80-84 years,0.081,0.055,chile,0.068
nMx - age-specific death rate between ages x and x+n,85+ years,0.165,0.127,chile,0.146
nMx - age-specific death rate between ages x and x+n,<1 year,0.013,0.011,uruguay,0.012
nMx - age-specific death rate between ages x and x+n,01-04 years,0.001,0.001,uruguay,0.001
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,uruguay,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,uruguay,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0.001,0,uruguay,0.0005
nMx - age-specific death rate between ages x and x+n,20-24 years,0.002,0,uruguay,0.001
nMx - age-specific death rate between ages x and x+n,25-29 years,0.002,0,uruguay,0.001
nMx - age-specific death rate between ages x and x+n,30-34 years,0.002,0.001,uruguay,0.0015
nMx - age-specific death rate between ages x and x+n,35-39 years,0.002,0.001,uruguay,0.0015
nMx - age-specific death rate between ages x and x+n,40-44 years,0.003,0.002,uruguay,0.0025
nMx - age-specific death rate between ages x and x+n,45-49 years,0.004,0.002,uruguay,0.003
nMx - age-specific death rate between ages x and x+n,50-54 years,0.006,0.004,uruguay,0.005
nMx - age-specific death rate between ages x and x+n,55-59 years,0.011,0.006,uruguay,0.0085
nMx - age-specific death rate between ages x and x+n,60-64 years,0.017,0.009,uruguay,0.013
nMx - age-specific death rate between ages x and x+n,65-69 years,0.026,0.013,uruguay,0.0195
nMx - age-specific death rate between ages x and x+n,70-74 years,0.039,0.02,uruguay,0.0295
nMx - age-specific death rate between ages x and x+n,75-79 years,0.061,0.032,uruguay,0.0465
nMx - age-specific death rate between ages x and x+n,80-84 years,0.095,0.054,uruguay,0.0745
nMx - age-specific death rate between ages x and x+n,85+ years,0.18,0.126,uruguay,0.153
nMx - age-specific death rate between ages x and x+n,<1 year,0.003,0.003,belgium,0.003
nMx - age-specific death rate between ages x and x+n,01-04 years,0,0,belgium,0
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,belgium,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,belgium,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0,0,belgium,0
nMx - age-specific death rate between ages x and x+n,20-24 years,0.001,0,belgium,0.0005
nMx - age-specific death rate between ages x and x+n,25-29 years,0.001,0,belgium,0.0005
nMx - age-specific death rate between ages x and x+n,30-34 years,0.001,0,belgium,0.0005
nMx - age-specific death rate between ages x and x+n,35-39 years,0.001,0.001,belgium,0.001
nMx - age-specific death rate between ages x and x+n,40-44 years,0.002,0.001,belgium,0.0015
nMx - age-specific death rate between ages x and x+n,45-49 years,0.002,0.002,belgium,0.002
nMx - age-specific death rate between ages x and x+n,50-54 years,0.004,0.003,belgium,0.0035
nMx - age-specific death rate between ages x and x+n,55-59 years,0.007,0.004,belgium,0.0055
nMx - age-specific death rate between ages x and x+n,60-64 years,0.011,0.006,belgium,0.0085
nMx - age-specific death rate between ages x and x+n,65-69 years,0.017,0.009,belgium,0.013
nMx - age-specific death rate between ages x and x+n,70-74 years,0.026,0.014,belgium,0.02
nMx - age-specific death rate between ages x and x+n,75-79 years,0.041,0.024,belgium,0.0325
nMx - age-specific death rate between ages x and x+n,80-84 years,0.069,0.047,belgium,0.058
nMx - age-specific death rate between ages x and x+n,85+ years,0.171,0.146,belgium,0.1585
nMx - age-specific death rate between ages x and x+n,<1 year,0.002,0.002,cyprus,0.002
nMx - age-specific death rate between ages x and x+n,01-04 years,0,0,cyprus,0
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,cyprus,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,cyprus,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0,0,cyprus,0
nMx - age-specific death rate between ages x and x+n,20-24 years,0,0,cyprus,0
nMx - age-specific death rate between ages x and x+n,25-29 years,0,0,cyprus,0
nMx - age-specific death rate between ages x and x+n,30-34 years,0.001,0,cyprus,0.0005
nMx - age-specific death rate between ages x and x+n,35-39 years,0.001,0,cyprus,0.0005
nMx - age-specific death rate between ages x and x+n,40-44 years,0.002,0.001,cyprus,0.0015
nMx - age-specific death rate between ages x and x+n,45-49 years,0.002,0.001,cyprus,0.0015
nMx - age-specific death rate between ages x and x+n,50-54 years,0.003,0.002,cyprus,0.0025
nMx - age-specific death rate between ages x and x+n,55-59 years,0.006,0.003,cyprus,0.0045
nMx - age-specific death rate between ages x and x+n,60-64 years,0.01,0.005,cyprus,0.0075
nMx - age-specific death rate between ages x and x+n,65-69 years,0.018,0.008,cyprus,0.013
nMx - age-specific death rate between ages x and x+n,70-74 years,0.027,0.012,cyprus,0.0195
nMx - age-specific death rate between ages x and x+n,75-79 years,0.048,0.028,cyprus,0.038
nMx - age-specific death rate between ages x and x+n,80-84 years,0.104,0.076,cyprus,0.09
nMx - age-specific death rate between ages x and x+n,85+ years,0.211,0.176,cyprus,0.1935
nMx - age-specific death rate between ages x and x+n,<1 year,0.003,0.002,austria,0.0025
nMx - age-specific death rate between ages x and x+n,01-04 years,0,0,austria,0
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,austria,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,austria,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0,0,austria,0
nMx - age-specific death rate between ages x and x+n,20-24 years,0.001,0,austria,0.0005
nMx - age-specific death rate between ages x and x+n,25-29 years,0.001,0,austria,0.0005
nMx - age-specific death rate between ages x and x+n,30-34 years,0.001,0,austria,0.0005
nMx - age-specific death rate between ages x and x+n,35-39 years,0.001,0,austria,0.0005
nMx - age-specific death rate between ages x and x+n,40-44 years,0.001,0.001,austria,0.001
nMx - age-specific death rate between ages x and x+n,45-49 years,0.002,0.001,austria,0.0015
nMx - age-specific death rate between ages x and x+n,50-54 years,0.004,0.002,austria,0.003
nMx - age-specific death rate between ages x and x+n,55-59 years,0.006,0.003,austria,0.0045
nMx - age-specific death rate between ages x and x+n,60-64 years,0.011,0.006,austria,0.0085
nMx - age-specific death rate between ages x and x+n,65-69 years,0.018,0.009,austria,0.0135
nMx - age-specific death rate between ages x and x+n,70-74 years,0.023,0.013,austria,0.018
nMx - age-specific death rate between ages x and x+n,75-79 years,0.04,0.024,austria,0.032
nMx - age-specific death rate between ages x and x+n,80-84 years,0.067,0.046,austria,0.0565
nMx - age-specific death rate between ages x and x+n,85+ years,0.166,0.144,austria,0.155
nMx - age-specific death rate between ages x and x+n,<1 year,0.003,0.003,denmark,0.003
nMx - age-specific death rate between ages x and x+n,01-04 years,0,0,denmark,0
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,denmark,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,denmark,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0,0,denmark,0
nMx - age-specific death rate between ages x and x+n,20-24 years,0,0,denmark,0
nMx - age-specific death rate between ages x and x+n,25-29 years,0,0,denmark,0
nMx - age-specific death rate between ages x and x+n,30-34 years,0.001,0,denmark,0.0005
nMx - age-specific death rate between ages x and x+n,35-39 years,0.001,0,denmark,0.0005
nMx - age-specific death rate between ages x and x+n,40-44 years,0.001,0.001,denmark,0.001
nMx - age-specific death rate between ages x and x+n,45-49 years,0.002,0.001,denmark,0.0015
nMx - age-specific death rate between ages x and x+n,50-54 years,0.004,0.002,denmark,0.003
nMx - age-specific death rate between ages x and x+n,55-59 years,0.007,0.004,denmark,0.0055
nMx - age-specific death rate between ages x and x+n,60-64 years,0.011,0.007,denmark,0.009
nMx - age-specific death rate between ages x and x+n,65-69 years,0.014,0.01,denmark,0.012
nMx - age-specific death rate between ages x and x+n,70-74 years,0.026,0.017,denmark,0.0215
nMx - age-specific death rate between ages x and x+n,75-79 years,0.041,0.028,denmark,0.0345
nMx - age-specific death rate between ages x and x+n,80-84 years,0.075,0.055,denmark,0.065
nMx - age-specific death rate between ages x and x+n,85+ years,0.172,0.143,denmark,0.1575
nMx - age-specific death rate between ages x and x+n,<1 year,0.002,0.002,finland,0.002
nMx - age-specific death rate between ages x and x+n,01-04 years,0,0,finland,0
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,finland,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,finland,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0,0,finland,0
nMx - age-specific death rate between ages x and x+n,20-24 years,0.001,0,finland,0.0005
nMx - age-specific death rate between ages x and x+n,25-29 years,0.001,0,finland,0.0005
nMx - age-specific death rate between ages x and x+n,30-34 years,0.001,0,finland,0.0005
nMx - age-specific death rate between ages x and x+n,35-39 years,0.001,0.001,finland,0.001
nMx - age-specific death rate between ages x and x+n,40-44 years,0.002,0.001,finland,0.0015
nMx - age-specific death rate between ages x and x+n,45-49 years,0.003,0.001,finland,0.002
nMx - age-specific death rate between ages x and x+n,50-54 years,0.004,0.002,finland,0.003
nMx - age-specific death rate between ages x and x+n,55-59 years,0.007,0.003,finland,0.005
nMx - age-specific death rate between ages x and x+n,60-64 years,0.011,0.005,finland,0.008
nMx - age-specific death rate between ages x and x+n,65-69 years,0.017,0.008,finland,0.0125
nMx - age-specific death rate between ages x and x+n,70-74 years,0.024,0.013,finland,0.0185
nMx - age-specific death rate between ages x and x+n,75-79 years,0.042,0.024,finland,0.033
nMx - age-specific death rate between ages x and x+n,80-84 years,0.073,0.048,finland,0.0605
nMx - age-specific death rate between ages x and x+n,85+ years,0.172,0.146,finland,0.159
nMx - age-specific death rate between ages x and x+n,<1 year,0.003,0.003,france,0.003
nMx - age-specific death rate between ages x and x+n,01-04 years,0,0,france,0
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,france,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,france,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0,0,france,0
nMx - age-specific death rate between ages x and x+n,20-24 years,0.001,0,france,0.0005
nMx - age-specific death rate between ages x and x+n,25-29 years,0.001,0,france,0.0005
nMx - age-specific death rate between ages x and x+n,30-34 years,0.001,0,france,0.0005
nMx - age-specific death rate between ages x and x+n,35-39 years,0.001,0.001,france,0.001
nMx - age-specific death rate between ages x and x+n,40-44 years,0.002,0.001,france,0.0015
nMx - age-specific death rate between ages x and x+n,45-49 years,0.003,0.002,france,0.0025
nMx - age-specific death rate between ages x and x+n,50-54 years,0.004,0.002,france,0.003
nMx - age-specific death rate between ages x and x+n,55-59 years,0.008,0.004,france,0.006
nMx - age-specific death rate between ages x and x+n,60-64 years,0.011,0.005,france,0.008
nMx - age-specific death rate between ages x and x+n,65-69 years,0.014,0.006,france,0.01
nMx - age-specific death rate between ages x and x+n,70-74 years,0.021,0.011,france,0.016
nMx - age-specific death rate between ages x and x+n,75-79 years,0.031,0.018,france,0.0245
nMx - age-specific death rate between ages x and x+n,80-84 years,0.056,0.035,france,0.0455
nMx - age-specific death rate between ages x and x+n,85+ years,0.15,0.126,france,0.138
nMx - age-specific death rate between ages x and x+n,<1 year,0.003,0.002,germany,0.0025
nMx - age-specific death rate between ages x and x+n,01-04 years,0,0,germany,0
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,germany,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,germany,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0,0,germany,0
nMx - age-specific death rate between ages x and x+n,20-24 years,0,0,germany,0
nMx - age-specific death rate between ages x and x+n,25-29 years,0.001,0,germany,0.0005
nMx - age-specific death rate between ages x and x+n,30-34 years,0.001,0,germany,0.0005
nMx - age-specific death rate between ages x and x+n,35-39 years,0.001,0,germany,0.0005
nMx - age-specific death rate between ages x and x+n,40-44 years,0.001,0.001,germany,0.001
nMx - age-specific death rate between ages x and x+n,45-49 years,0.002,0.001,germany,0.0015
nMx - age-specific death rate between ages x and x+n,50-54 years,0.004,0.002,germany,0.003
nMx - age-specific death rate between ages x and x+n,55-59 years,0.007,0.004,germany,0.0055
nMx - age-specific death rate between ages x and x+n,60-64 years,0.013,0.006,germany,0.0095
nMx - age-specific death rate between ages x and x+n,65-69 years,0.016,0.009,germany,0.0125
nMx - age-specific death rate between ages x and x+n,70-74 years,0.027,0.015,germany,0.021
nMx - age-specific death rate between ages x and x+n,75-79 years,0.041,0.024,germany,0.0325
nMx - age-specific death rate between ages x and x+n,80-84 years,0.076,0.053,germany,0.0645
nMx - age-specific death rate between ages x and x+n,85+ years,0.177,0.154,germany,0.1655
nMx - age-specific death rate between ages x and x+n,<1 year,0.004,0.003,greece,0.0035
nMx - age-specific death rate between ages x and x+n,01-04 years,0,0,greece,0
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,greece,0
