measure,location,sex,age,cause,metric,year,val,upper,lower
Incidence,"Central Europe, Eastern Europe, and Central Asia",Both,20-24 years,Measles,Rate,2019,3.69284228,3.711476919,3.675166461
Incidence,"Central Europe, Eastern Europe, and Central Asia",Both,25-29 years,Measles,Rate,2019,2.255219264,2.266389205,2.24433589
Incidence,"Central Europe, Eastern Europe, and Central Asia",Both,30-34 years,Measles,Rate,2019,1.627125747,1.635212943,1.619278868
Incidence,"Central Europe, Eastern Europe, and Central Asia",Both,35-39 years,Measles,Rate,2019,1.17992911,1.185865832,1.174288972
Incidence,"Central Europe, Eastern Europe, and Central Asia",Both,40-44 years,Measles,Rate,2019,0.930700548,0.935410033,0.926277971
Incidence,"Central Europe, Eastern Europe, and Central Asia",Both,45-49 years,Measles,Rate,2019,0.783638346,0.787657829,0.779915306
Incidence,"Central Europe, Eastern Europe, and Central Asia",Both,50-54 years,Measles,Rate,2019,0.714848843,0.718542587,0.711458483
Incidence,"Central Europe, Eastern Europe, and Central Asia",Both,55-59 years,Measles,Rate,2019,0.822694368,0.826840746,0.818802386
Incidence,"Central Europe, Eastern Europe, and Central Asia",Both,60-64 years,Measles,Rate,2019,0,0,0
Incidence,"Central Europe, Eastern Europe, and Central Asia",Both,65-69 years,Measles,Rate,2019,0,0,0
Incidence,"Central Europe, Eastern Europe, and Central Asia",Both,70-74 years,Measles,Rate,2019,0,0,0
Incidence,"Central Europe, Eastern Europe, and Central Asia",Both,75-79 years,Measles,Rate,2019,0,0,0
Incidence,"Central Europe, Eastern Europe, and Central Asia",Both,80+ years,Measles,Rate,2019,0,0,0
Incidence,"Central Europe, Eastern Europe, and Central Asia",Both,<1 year,Measles,Rate,2019,649.2865248,652.4908823,646.170991
Incidence,Latin America and Caribbean,Both,1-4 years,Ebola,Rate,2019,0,0,0
Incidence,Latin America and Caribbean,Both,5-9 years,Ebola,Rate,2019,0,0,0
Incidence,Latin America and Caribbean,Both,10-14 years,Ebola,Rate,2019,0,0,0
Incidence,Latin America and Caribbean,Both,15-19 years,Ebola,Rate,2019,0,0,0
Incidence,Latin America and Caribbean,Both,20-24 years,Ebola,Rate,2019,0,0,0
Incidence,Latin America and Caribbean,Both,25-29 years,Ebola,Rate,2019,0,0,0
Incidence,Latin America and Caribbean,Both,30-34 years,Ebola,Rate,2019,0,0,0
Incidence,Latin America and Caribbean,Both,35-39 years,Ebola,Rate,2019,0,0,0
Incidence,Latin America and Caribbean,Both,40-44 years,Ebola,Rate,2019,0,0,0
Incidence,Latin America and Caribbean,Both,45-49 years,Ebola,Rate,2019,0,0,0
Incidence,Latin America and Caribbean,Both,50-54 years,Ebola,Rate,2019,0,0,0
Incidence,Latin America and Caribbean,Both,55-59 years,Ebola,Rate,2019,0,0,0
Incidence,Latin America and Caribbean,Both,60-64 years,Ebola,Rate,2019,0,0,0
Incidence,Latin America and Caribbean,Both,65-69 years,Ebola,Rate,2019,0,0,0
Incidence,Latin America and Caribbean,Both,70-74 years,Ebola,Rate,2019,0,0,0
Incidence,Latin America and Caribbean,Both,75-79 years,Ebola,Rate,2019,0,0,0
Incidence,Latin America and Caribbean,Both,80+ years,Ebola,Rate,2019,0,0,0
Incidence,Latin America and Caribbean,Both,<1 year,Ebola,Rate,2019,0,0,0
Incidence,Sub-Saharan Africa,Both,1-4 years,Tuberculosis,Rate,2019,97.71810224,143.1669703,63.02634069
Incidence,Sub-Saharan Africa,Both,5-9 years,Tuberculosis,Rate,2019,58.87281009,90.2308194,35.77407091
Incidence,Sub-Saharan Africa,Both,10-14 years,Tuberculosis,Rate,2019,80.72341603,120.6745737,48.29274868
Incidence,Sub-Saharan Africa,Both,15-19 years,Tuberculosis,Rate,2019,209.8077127,313.242431,128.1928814
Incidence,Sub-Saharan Africa,Both,20-24 years,Tuberculosis,Rate,2019,288.8437301,433.320047,173.6545512
Incidence,Sub-Saharan Africa,Both,25-29 years,Tuberculosis,Rate,2019,310.4050641,477.9868629,174.7612968
Incidence,Sub-Saharan Africa,Both,30-34 years,Tuberculosis,Rate,2019,302.8713441,487.7583593,158.6495489
Incidence,Sub-Saharan Africa,Both,35-39 years,Tuberculosis,Rate,2019,260.1493406,424.9019444,127.0505305
Incidence,Sub-Saharan Africa,Both,40-44 years,Tuberculosis,Rate,2019,273.2792567,444.6328462,141.3457561
Incidence,Sub-Saharan Africa,Both,45-49 years,Tuberculosis,Rate,2019,269.4945003,440.2334328,140.0525557
Incidence,Sub-Saharan Africa,Both,50-54 years,Tuberculosis,Rate,2019,277.3391587,445.1873068,147.5977661
Incidence,Sub-Saharan Africa,Both,55-59 years,Tuberculosis,Rate,2019,326.293233,498.3946916,194.5094977
Incidence,Sub-Saharan Africa,Both,60-64 years,Tuberculosis,Rate,2019,354.5513867,513.2303098,220.7417722
Incidence,Sub-Saharan Africa,Both,65-69 years,Tuberculosis,Rate,2019,397.6145197,568.4476364,252.7378991
Incidence,Sub-Saharan Africa,Both,70-74 years,Tuberculosis,Rate,2019,378.8353331,512.7293109,250.2645184
Incidence,Sub-Saharan Africa,Both,75-79 years,Tuberculosis,Rate,2019,400.0719595,548.0865177,272.0106927
Incidence,Sub-Saharan Africa,Both,80+ years,Tuberculosis,Rate,2019,637.7424669,789.9570874,508.139248
Incidence,Sub-Saharan Africa,Both,<1 year,Tuberculosis,Rate,2019,131.6831462,173.8442274,96.76213202
Incidence,Sub-Saharan Africa,Both,1-4 years,HIV/AIDS,Rate,2019,19.30383674,22.85071996,16.03240638
Incidence,Sub-Saharan Africa,Both,5-9 years,HIV/AIDS,Rate,2019,0,0,0
Incidence,Sub-Saharan Africa,Both,10-14 years,HIV/AIDS,Rate,2019,0,0,0
Incidence,Sub-Saharan Africa,Both,15-19 years,HIV/AIDS,Rate,2019,115.3691803,141.8899403,95.13470178
Incidence,Sub-Saharan Africa,Both,20-24 years,HIV/AIDS,Rate,2019,140.7204895,173.463344,114.8433225
Incidence,Sub-Saharan Africa,Both,25-29 years,HIV/AIDS,Rate,2019,343.11851,418.9005648,281.341314
Incidence,Sub-Saharan Africa,Both,30-34 years,HIV/AIDS,Rate,2019,296.7021147,361.7767085,243.2896264
Incidence,Sub-Saharan Africa,Both,35-39 years,HIV/AIDS,Rate,2019,268.7603924,333.230902,219.4743313
Incidence,Sub-Saharan Africa,Both,40-44 years,HIV/AIDS,Rate,2019,188.330217,237.5052236,153.1322336
Incidence,Sub-Saharan Africa,Both,45-49 years,HIV/AIDS,Rate,2019,163.5718533,204.770041,132.2739153
Incidence,Sub-Saharan Africa,Both,50-54 years,HIV/AIDS,Rate,2019,130.5406703,162.8452948,105.53224
Incidence,Sub-Saharan Africa,Both,55-59 years,HIV/AIDS,Rate,2019,104.6097405,129.9852511,84.46300639
Incidence,Sub-Saharan Africa,Both,60-64 years,HIV/AIDS,Rate,2019,89.71215212,112.1736468,72.13827215
Incidence,Sub-Saharan Africa,Both,65-69 years,HIV/AIDS,Rate,2019,88.15156952,110.1248813,70.59427074
Incidence,Sub-Saharan Africa,Both,70-74 years,HIV/AIDS,Rate,2019,98.36714654,123.1493152,78.77338589
Incidence,Sub-Saharan Africa,Both,75-79 years,HIV/AIDS,Rate,2019,38.23490009,47.72098691,30.72790751
Incidence,Sub-Saharan Africa,Both,80+ years,HIV/AIDS,Rate,2019,0,0,0
Incidence,Sub-Saharan Africa,Both,<1 year,HIV/AIDS,Rate,2019,215.6505972,259.0508072,177.5185263
Incidence,Sub-Saharan Africa,Both,1-4 years,Meningitis,Rate,2019,216.1255838,304.6142475,153.2338063
Incidence,Sub-Saharan Africa,Both,5-9 years,Meningitis,Rate,2019,58.08713186,90.42310207,34.44933927
Incidence,Sub-Saharan Africa,Both,10-14 years,Meningitis,Rate,2019,33.14044143,50.25851211,20.50747062
Incidence,Sub-Saharan Africa,Both,15-19 years,Meningitis,Rate,2019,34.70730044,54.03724928,23.00193124
Incidence,Sub-Saharan Africa,Both,20-24 years,Meningitis,Rate,2019,42.38966683,66.87593364,26.95583168
Incidence,Sub-Saharan Africa,Both,25-29 years,Meningitis,Rate,2019,49.81404048,71.0451219,33.8725626
Incidence,Sub-Saharan Africa,Both,30-34 years,Meningitis,Rate,2019,55.11900165,76.96960977,38.27635153
Incidence,Sub-Saharan Africa,Both,35-39 years,Meningitis,Rate,2019,50.88924817,76.42162833,33.32083454
Incidence,Sub-Saharan Africa,Both,40-44 years,Meningitis,Rate,2019,49.66520398,72.21183374,33.18613399
Incidence,Sub-Saharan Africa,Both,45-49 years,Meningitis,Rate,2019,51.28743197,73.64374017,33.04920732
Incidence,Sub-Saharan Africa,Both,50-54 years,Meningitis,Rate,2019,56.20796602,79.92391682,38.29338031
Incidence,Sub-Saharan Africa,Both,55-59 years,Meningitis,Rate,2019,61.40039202,94.62743805,37.92013962
Incidence,Sub-Saharan Africa,Both,60-64 years,Meningitis,Rate,2019,74.34746991,104.616095,49.52777204
Incidence,Sub-Saharan Africa,Both,65-69 years,Meningitis,Rate,2019,91.63741733,135.6461498,59.45312122
Incidence,Sub-Saharan Africa,Both,70-74 years,Meningitis,Rate,2019,112.2370567,153.6531906,81.42056352
Incidence,Sub-Saharan Africa,Both,75-79 years,Meningitis,Rate,2019,135.8351772,203.3594889,83.70968995
Incidence,Sub-Saharan Africa,Both,80+ years,Meningitis,Rate,2019,224.701931,292.8637988,169.9693131
Incidence,Sub-Saharan Africa,Both,<1 year,Meningitis,Rate,2019,1318.877874,1749.324434,980.2198545
Incidence,Sub-Saharan Africa,Both,1-4 years,Measles,Rate,2019,2752.633425,6124.228934,951.3673731
Incidence,Sub-Saharan Africa,Both,5-9 years,Measles,Rate,2019,354.9459081,788.8496936,122.6729585
Incidence,Sub-Saharan Africa,Both,10-14 years,Measles,Rate,2019,94.70714994,210.0579768,32.7709313
Incidence,Sub-Saharan Africa,Both,15-19 years,Measles,Rate,2019,34.47331192,76.38956684,11.9391845
Incidence,Sub-Saharan Africa,Both,20-24 years,Measles,Rate,2019,19.27005719,42.65508034,6.685486607
Incidence,Sub-Saharan Africa,Both,25-29 years,Measles,Rate,2019,11.16211657,24.65353687,3.881491589
Incidence,Sub-Saharan Africa,Both,30-34 years,Measles,Rate,2019,7.760756879,17.11099753,2.696773336
Incidence,Sub-Saharan Africa,Both,35-39 years,Measles,Rate,2019,5.439748145,11.9899602,1.887735134
Incidence,Sub-Saharan Africa,Both,40-44 years,Measles,Rate,2019,4.3356543,9.56163679,1.50347263
Incidence,Sub-Saharan Africa,Both,45-49 years,Measles,Rate,2019,3.559356915,7.841785215,1.233997097
Incidence,Sub-Saharan Africa,Both,50-54 years,Measles,Rate,2019,3.204573265,7.054974558,1.111297259
Incidence,Sub-Saharan Africa,Both,55-59 years,Measles,Rate,2019,3.697895103,8.131111422,1.283567959
Incidence,Sub-Saharan Africa,Both,60-64 years,Measles,Rate,2019,0,0,0
Incidence,Sub-Saharan Africa,Both,65-69 years,Measles,Rate,2019,0,0,0
Incidence,Sub-Saharan Africa,Both,70-74 years,Measles,Rate,2019,0,0,0
Incidence,Sub-Saharan Africa,Both,75-79 years,Measles,Rate,2019,0,0,0
Incidence,Sub-Saharan Africa,Both,80+ years,Measles,Rate,2019,0,0,0
Incidence,Sub-Saharan Africa,Both,<1 year,Measles,Rate,2019,4061.171713,9036.692021,1403.468321
Incidence,Sub-Saharan Africa,Both,1-4 years,Ebola,Rate,2019,0.289337895,0.328337704,0.249511327
Incidence,Sub-Saharan Africa,Both,5-9 years,Ebola,Rate,2019,0.258738035,0.291542312,0.225294549
Incidence,Sub-Saharan Africa,Both,10-14 years,Ebola,Rate,2019,0.221069201,0.249098813,0.192490666
Incidence,Sub-Saharan Africa,Both,15-19 years,Ebola,Rate,2019,0.244543089,0.274130601,0.213700748
Incidence,Sub-Saharan Africa,Both,20-24 years,Ebola,Rate,2019,0.545184706,0.611303069,0.476059766
Incidence,Sub-Saharan Africa,Both,25-29 years,Ebola,Rate,2019,0.943323305,1.056704917,0.823575875
Incidence,Sub-Saharan Africa,Both,30-34 years,Ebola,Rate,2019,1.133222948,1.268993993,0.988238209
Incidence,Sub-Saharan Africa,Both,35-39 years,Ebola,Rate,2019,1.429238219,1.607735039,1.244439402
Incidence,Sub-Saharan Africa,Both,40-44 years,Ebola,Rate,2019,1.67595929,1.881565688,1.46105531
Incidence,Sub-Saharan Africa,Both,45-49 years,Ebola,Rate,2019,1.419002921,1.624144919,1.209458388
Incidence,Sub-Saharan Africa,Both,50-54 years,Ebola,Rate,2019,1.440486148,1.625574057,1.252724448
Incidence,Sub-Saharan Africa,Both,55-59 years,Ebola,Rate,2019,1.51450915,1.716662859,1.308352185
Incidence,Sub-Saharan Africa,Both,60-64 years,Ebola,Rate,2019,2.029978893,2.278676091,1.76858728
Incidence,Sub-Saharan Africa,Both,65-69 years,Ebola,Rate,2019,1.603382101,1.796340352,1.399616174
Incidence,Sub-Saharan Africa,Both,70-74 years,Ebola,Rate,2019,0.455112386,0.514062081,0.395803583
Incidence,Sub-Saharan Africa,Both,75-79 years,Ebola,Rate,2019,1.435949011,1.655572577,1.211281736
Incidence,Sub-Saharan Africa,Both,80+ years,Ebola,Rate,2019,0.396885773,0.468441126,0.32544478
Incidence,Sub-Saharan Africa,Both,<1 year,Ebola,Rate,2019,0.157111239,0.185437148,0.128830601
Incidence,South Asia,Both,1-4 years,Tuberculosis,Rate,2019,38.19451173,52.75279468,26.04505202
Incidence,South Asia,Both,5-9 years,Tuberculosis,Rate,2019,35.99135729,51.01795701,24.25312186
Incidence,South Asia,Both,10-14 years,Tuberculosis,Rate,2019,60.49200438,88.17785799,38.17077585
Incidence,South Asia,Both,15-19 years,Tuberculosis,Rate,2019,167.4594647,246.6214496,107.1637162
Incidence,South Asia,Both,20-24 years,Tuberculosis,Rate,2019,204.3495945,304.8400574,126.4604185
Incidence,South Asia,Both,25-29 years,Tuberculosis,Rate,2019,240.378082,365.9107021,147.8213694
Incidence,South Asia,Both,30-34 years,Tuberculosis,Rate,2019,274.6434246,417.1878732,167.3193284
Incidence,South Asia,Both,35-39 years,Tuberculosis,Rate,2019,282.855227,426.0985127,168.8646737
Incidence,South Asia,Both,40-44 years,Tuberculosis,Rate,2019,309.1365992,469.7067895,187.8682632
Incidence,South Asia,Both,45-49 years,Tuberculosis,Rate,2019,305.5153079,454.8395457,181.6943643
Incidence,South Asia,Both,50-54 years,Tuberculosis,Rate,2019,328.5868002,504.8592567,197.893242
Incidence,South Asia,Both,55-59 years,Tuberculosis,Rate,2019,394.3680409,577.1401828,251.4680193
Incidence,South Asia,Both,60-64 years,Tuberculosis,Rate,2019,407.6102408,605.7139264,262.5302817
Incidence,South Asia,Both,65-69 years,Tuberculosis,Rate,2019,397.6792224,599.366985,246.8221968
Incidence,South Asia,Both,70-74 years,Tuberculosis,Rate,2019,349.9422708,489.3674432,230.1844031
Incidence,South Asia,Both,75-79 years,Tuberculosis,Rate,2019,342.5573044,487.2484877,229.2843454
Incidence,South Asia,Both,80+ years,Tuberculosis,Rate,2019,460.168059,588.9094031,360.3637722
Incidence,South Asia,Both,<1 year,Tuberculosis,Rate,2019,55.66639895,73.86446121,39.92502677
Incidence,South Asia,Both,1-4 years,HIV/AIDS,Rate,2019,0.437839836,0.445730833,0.429998558
Incidence,South Asia,Both,5-9 years,HIV/AIDS,Rate,2019,0.177653096,0.184310448,0.170920798
Incidence,South Asia,Both,10-14 years,HIV/AIDS,Rate,2019,0.10120213,0.107224631,0.094871648
Incidence,South Asia,Both,15-19 years,HIV/AIDS,Rate,2019,3.364418496,7.5366533,1.613361921
Incidence,South Asia,Both,20-24 years,HIV/AIDS,Rate,2019,9.642554894,18.09710831,5.811750303
Incidence,South Asia,Both,25-29 years,HIV/AIDS,Rate,2019,10.8545132,19.47477845,6.490148304
Incidence,South Asia,Both,30-34 years,HIV/AIDS,Rate,2019,10.84940984,19.05461673,5.939405938
Incidence,South Asia,Both,35-39 years,HIV/AIDS,Rate,2019,7.30722798,14.47188201,3.016155758
Incidence,South Asia,Both,40-44 years,HIV/AIDS,Rate,2019,4.064560045,8.745904096,1.307935411
Incidence,South Asia,Both,45-49 years,HIV/AIDS,Rate,2019,2.609021702,6.252726301,0.662897501
Incidence,South Asia,Both,50-54 years,HIV/AIDS,Rate,2019,3.362456222,6.670579471,1.248185044
Incidence,South Asia,Both,55-59 years,HIV/AIDS,Rate,2019,4.754299372,10.70246446,1.433362844
Incidence,South Asia,Both,60-64 years,HIV/AIDS,Rate,2019,2.984711056,8.01550992,0.839536885
Incidence,South Asia,Both,65-69 years,HIV/AIDS,Rate,2019,2.262762216,5.282699747,0.592513632
Incidence,South Asia,Both,70-74 years,HIV/AIDS,Rate,2019,0.705617759,1.717733791,0.171885579
Incidence,South Asia,Both,75-79 years,HIV/AIDS,Rate,2019,0.537641389,1.44990772,0.103734628
Incidence,South Asia,Both,80+ years,HIV/AIDS,Rate,2019,0,0,0
Incidence,South Asia,Both,<1 year,HIV/AIDS,Rate,2019,23.17832552,52.62197814,15.4599831
Incidence,South Asia,Both,1-4 years,Meningitis,Rate,2019,127.5955642,184.8100624,87.99405845
Incidence,South Asia,Both,5-9 years,Meningitis,Rate,2019,50.60137473,83.22921417,29.14471787
Incidence,South Asia,Both,10-14 years,Meningitis,Rate,2019,25.78964757,40.90413362,14.12728383
Incidence,South Asia,Both,15-19 years,Meningitis,Rate,2019,20.19809833,34.15779445,12.0509784
Incidence,South Asia,Both,20-24 years,Meningitis,Rate,2019,19.24946156,36.50237101,9.945764313
Incidence,South Asia,Both,25-29 years,Meningitis,Rate,2019,19.96947458,30.50228354,12.13538117
Incidence,South Asia,Both,30-34 years,Meningitis,Rate,2019,19.87261046,30.14550914,12.23899039
Incidence,South Asia,Both,35-39 years,Meningitis,Rate,2019,16.97792805,28.13770668,10.1317406
Incidence,South Asia,Both,40-44 years,Meningitis,Rate,2019,16.64180482,25.10775621,10.27138345
Incidence,South Asia,Both,45-49 years,Meningitis,Rate,2019,18.64716503,28.6167749,10.96996298
Incidence,South Asia,Both,50-54 years,Meningitis,Rate,2019,20.45071567,31.04813549,13.27682989
Incidence,South Asia,Both,55-59 years,Meningitis,Rate,2019,21.18824113,34.54755829,12.09184969
Incidence,South Asia,Both,60-64 years,Meningitis,Rate,2019,23.39575342,35.17602565,14.35802269
Incidence,South Asia,Both,65-69 years,Meningitis,Rate,2019,26.14171147,40.20737141,15.68929522
Incidence,South Asia,Both,70-74 years,Meningitis,Rate,2019,32.3079924,47.02776567,21.6312567
Incidence,South Asia,Both,75-79 years,Meningitis,Rate,2019,42.42478975,66.19255525,24.01163055
Incidence,South Asia,Both,80+ years,Meningitis,Rate,2019,64.50754685,87.25684117,46.54093441
Incidence,South Asia,Both,<1 year,Meningitis,Rate,2019,522.906584,729.7963103,369.6156529
Incidence,South Asia,Both,1-4 years,Measles,Rate,2019,1517.866996,3244.731905,528.7809197
Incidence,South Asia,Both,5-9 years,Measles,Rate,2019,197.6425734,421.5117233,68.95661486
Incidence,South Asia,Both,10-14 years,Measles,Rate,2019,53.92506526,114.943362,18.78422237
Incidence,South Asia,Both,15-19 years,Measles,Rate,2019,19.80149008,42.15229927,6.882692381
Incidence,South Asia,Both,20-24 years,Measles,Rate,2019,10.99470478,23.49937072,3.81525282
Incidence,South Asia,Both,25-29 years,Measles,Rate,2019,6.230035341,13.40820417,2.161320427
Incidence,South Asia,Both,30-34 years,Measles,Rate,2019,4.316894085,9.333489676,1.496671217
Incidence,South Asia,Both,35-39 years,Measles,Rate,2019,3.052493119,6.607726774,1.057456376
Incidence,South Asia,Both,40-44 years,Measles,Rate,2019,2.438634775,5.281215306,0.844766086
Incidence,South Asia,Both,45-49 years,Measles,Rate,2019,1.995534457,4.326406046,0.690949061
Incidence,South Asia,Both,50-54 years,Measles,Rate,2019,1.779473523,3.857645791,0.616016606
Incidence,South Asia,Both,55-59 years,Measles,Rate,2019,2.051947911,4.445941672,0.710112311
Incidence,South Asia,Both,60-64 years,Measles,Rate,2019,0,0,0
Incidence,South Asia,Both,65-69 years,Measles,Rate,2019,0,0,0
Incidence,South Asia,Both,70-74 years,Measles,Rate,2019,0,0,0
Incidence,South Asia,Both,75-79 years,Measles,Rate,2019,0,0,0
Incidence,South Asia,Both,80+ years,Measles,Rate,2019,0,0,0
Incidence,South Asia,Both,<1 year,Measles,Rate,2019,2241.040208,4800.957104,779.0515598
Incidence,South Asia,Both,1-4 years,Ebola,Rate,2019,0,0,0
Incidence,South Asia,Both,5-9 years,Ebola,Rate,2019,0,0,0
Incidence,South Asia,Both,10-14 years,Ebola,Rate,2019,0,0,0
Incidence,South Asia,Both,15-19 years,Ebola,Rate,2019,0,0,0
Incidence,South Asia,Both,20-24 years,Ebola,Rate,2019,0,0,0
Incidence,South Asia,Both,25-29 years,Ebola,Rate,2019,0,0,0
Incidence,South Asia,Both,30-34 years,Ebola,Rate,2019,0,0,0
Incidence,South Asia,Both,35-39 years,Ebola,Rate,2019,0,0,0
Incidence,South Asia,Both,40-44 years,Ebola,Rate,2019,0,0,0
Incidence,South Asia,Both,45-49 years,Ebola,Rate,2019,0,0,0
Incidence,South Asia,Both,50-54 years,Ebola,Rate,2019,0,0,0
Incidence,South Asia,Both,55-59 years,Ebola,Rate,2019,0,0,0
Incidence,South Asia,Both,60-64 years,Ebola,Rate,2019,0,0,0
Incidence,South Asia,Both,65-69 years,Ebola,Rate,2019,0,0,0
Incidence,South Asia,Both,70-74 years,Ebola,Rate,2019,0,0,0
Incidence,South Asia,Both,75-79 years,Ebola,Rate,2019,0,0,0
Incidence,South Asia,Both,80+ years,Ebola,Rate,2019,0,0,0
Incidence,South Asia,Both,<1 year,Ebola,Rate,2019,0,0,0
Incidence,"Southeast Asia, East Asia, and Oceania",Both,1-4 years,Tuberculosis,Rate,2019,29.0430575,42.07348698,19.78143228
Incidence,"Southeast Asia, East Asia, and Oceania",Both,5-9 years,Tuberculosis,Rate,2019,27.6479808,42.31787779,17.02867162
Incidence,"Southeast Asia, East Asia, and Oceania",Both,10-14 years,Tuberculosis,Rate,2019,42.0508591,62.28508867,25.85209768
Incidence,"Southeast Asia, East Asia, and Oceania",Both,15-19 years,Tuberculosis,Rate,2019,88.12907503,125.4497993,57.64826203
Incidence,"Southeast Asia, East Asia, and Oceania",Both,20-24 years,Tuberculosis,Rate,2019,93.43792583,133.5386513,58.98782824
Incidence,"Southeast Asia, East Asia, and Oceania",Both,25-29 years,Tuberculosis,Rate,2019,66.99839702,100.988664,43.06216557
Incidence,"Southeast Asia, East Asia, and Oceania",Both,30-34 years,Tuberculosis,Rate,2019,68.84587853,103.1424237,43.23131508
Incidence,"Southeast Asia, East Asia, and Oceania",Both,35-39 years,Tuberculosis,Rate,2019,70.74956071,100.7423182,43.87575556
Incidence,"Southeast Asia, East Asia, and Oceania",Both,40-44 years,Tuberculosis,Rate,2019,76.03703084,108.2581415,48.28812382
Incidence,"Southeast Asia, East Asia, and Oceania",Both,45-49 years,Tuberculosis,Rate,2019,78.58396204,110.5720553,51.93337073
Incidence,"Southeast Asia, East Asia, and Oceania",Both,50-54 years,Tuberculosis,Rate,2019,95.31921541,134.4610792,62.05178003
Incidence,"Southeast Asia, East Asia, and Oceania",Both,55-59 years,Tuberculosis,Rate,2019,131.7617252,179.7177279,92.76204053
Incidence,"Southeast Asia, East Asia, and Oceania",Both,60-64 years,Tuberculosis,Rate,2019,143.4430722,195.1294173,99.31547712
Incidence,"Southeast Asia, East Asia, and Oceania",Both,65-69 years,Tuberculosis,Rate,2019,164.9444298,221.3594022,114.4403846
Incidence,"Southeast Asia, East Asia, and Oceania",Both,70-74 years,Tuberculosis,Rate,2019,166.2159762,216.1372236,117.951804
Incidence,"Southeast Asia, East Asia, and Oceania",Both,75-79 years,Tuberculosis,Rate,2019,167.885853,219.7138839,120.3325204
Incidence,"Southeast Asia, East Asia, and Oceania",Both,80+ years,Tuberculosis,Rate,2019,224.2683872,269.452428,184.491245
Incidence,"Southeast Asia, East Asia, and Oceania",Both,<1 year,Tuberculosis,Rate,2019,38.67638082,51.13989125,27.67454553
Incidence,"Southeast Asia, East Asia, and Oceania",Both,1-4 years,HIV/AIDS,Rate,2019,0.108681068,0.28397713,0.003030527
Incidence,"Southeast Asia, East Asia, and Oceania",Both,5-9 years,HIV/AIDS,Rate,2019,0,0,0
Incidence,"Southeast Asia, East Asia, and Oceania",Both,10-14 years,HIV/AIDS,Rate,2019,0,0,0
Incidence,"Southeast Asia, East Asia, and Oceania",Both,15-19 years,HIV/AIDS,Rate,2019,17.22360667,27.17811951,9.502748336
Incidence,"Southeast Asia, East Asia, and Oceania",Both,20-24 years,HIV/AIDS,Rate,2019,23.04838816,35.82712015,14.38670836
Incidence,"Southeast Asia, East Asia, and Oceania",Both,25-29 years,HIV/AIDS,Rate,2019,16.82407231,28.58035376,11.25205608
