Indicator,Age Group,Male,Female,,both
nMx - age-specific death rate between ages x and x+n,05-09 years,0.002,0.001,laos,0.0015
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,laos,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0.001,0.001,laos,0.001
nMx - age-specific death rate between ages x and x+n,20-24 years,0.002,0.002,laos,0.002
nMx - age-specific death rate between ages x and x+n,25-29 years,0.002,0.002,laos,0.002
nMx - age-specific death rate between ages x and x+n,30-34 years,0.002,0.002,laos,0.002
nMx - age-specific death rate between ages x and x+n,35-39 years,0.003,0.003,laos,0.003
nMx - age-specific death rate between ages x and x+n,40-44 years,0.004,0.004,laos,0.004
nMx - age-specific death rate between ages x and x+n,45-49 years,0.007,0.005,laos,0.006
nMx - age-specific death rate between ages x and x+n,50-54 years,0.01,0.008,laos,0.009
nMx - age-specific death rate between ages x and x+n,55-59 years,0.016,0.011,laos,0.0135
nMx - age-specific death rate between ages x and x+n,60-64 years,0.025,0.018,laos,0.0215
nMx - age-specific death rate between ages x and x+n,65-69 years,0.038,0.029,laos,0.0335
nMx - age-specific death rate between ages x and x+n,70-74 years,0.06,0.048,laos,0.054
nMx - age-specific death rate between ages x and x+n,75-79 years,0.095,0.08,laos,0.0875
nMx - age-specific death rate between ages x and x+n,80-84 years,0.15,0.133,laos,0.1415
nMx - age-specific death rate between ages x and x+n,85+ years,0.26,0.238,laos,0.249
nMx - age-specific death rate between ages x and x+n,<1 year,0.007,0.007,malaysia,0.007
nMx - age-specific death rate between ages x and x+n,01-04 years,0,0,malaysia,0
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,malaysia,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,malaysia,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0.001,0,malaysia,0.0005
nMx - age-specific death rate between ages x and x+n,20-24 years,0.001,0,malaysia,0.0005
nMx - age-specific death rate between ages x and x+n,25-29 years,0.001,0,malaysia,0.0005
nMx - age-specific death rate between ages x and x+n,30-34 years,0.002,0.001,malaysia,0.0015
nMx - age-specific death rate between ages x and x+n,35-39 years,0.002,0.001,malaysia,0.0015
nMx - age-specific death rate between ages x and x+n,40-44 years,0.003,0.002,malaysia,0.0025
nMx - age-specific death rate between ages x and x+n,45-49 years,0.005,0.003,malaysia,0.004
nMx - age-specific death rate between ages x and x+n,50-54 years,0.008,0.004,malaysia,0.006
nMx - age-specific death rate between ages x and x+n,55-59 years,0.012,0.007,malaysia,0.0095
nMx - age-specific death rate between ages x and x+n,60-64 years,0.017,0.011,malaysia,0.014
nMx - age-specific death rate between ages x and x+n,65-69 years,0.026,0.016,malaysia,0.021
nMx - age-specific death rate between ages x and x+n,70-74 years,0.043,0.031,malaysia,0.037
nMx - age-specific death rate between ages x and x+n,75-79 years,0.06,0.05,malaysia,0.055
nMx - age-specific death rate between ages x and x+n,80-84 years,0.1,0.094,malaysia,0.097
nMx - age-specific death rate between ages x and x+n,85+ years,0.207,0.197,malaysia,0.202
nMx - age-specific death rate between ages x and x+n,<1 year,0.008,0.007,maldives,0.0075
nMx - age-specific death rate between ages x and x+n,01-04 years,0,0,maldives,0
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,maldives,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0.001,0,maldives,0.0005
nMx - age-specific death rate between ages x and x+n,15-19  years,0,0,maldives,0
nMx - age-specific death rate between ages x and x+n,20-24 years,0.001,0,maldives,0.0005
nMx - age-specific death rate between ages x and x+n,25-29 years,0,0,maldives,0
nMx - age-specific death rate between ages x and x+n,30-34 years,0.001,0,maldives,0.0005
nMx - age-specific death rate between ages x and x+n,35-39 years,0,0,maldives,0
nMx - age-specific death rate between ages x and x+n,40-44 years,0.001,0.001,maldives,0.001
nMx - age-specific death rate between ages x and x+n,45-49 years,0.002,0.001,maldives,0.0015
nMx - age-specific death rate between ages x and x+n,50-54 years,0.003,0.002,maldives,0.0025
nMx - age-specific death rate between ages x and x+n,55-59 years,0.005,0.002,maldives,0.0035
nMx - age-specific death rate between ages x and x+n,60-64 years,0.009,0.005,maldives,0.007
nMx - age-specific death rate between ages x and x+n,65-69 years,0.025,0.017,maldives,0.021
nMx - age-specific death rate between ages x and x+n,70-74 years,0.044,0.03,maldives,0.037
nMx - age-specific death rate between ages x and x+n,75-79 years,0.06,0.059,maldives,0.0595
nMx - age-specific death rate between ages x and x+n,80-84 years,0.09,0.084,maldives,0.087
nMx - age-specific death rate between ages x and x+n,85+ years,0.167,0.151,maldives,0.159
nMx - age-specific death rate between ages x and x+n,<1 year,0.012,0.01,mauritius,0.011
nMx - age-specific death rate between ages x and x+n,01-04 years,0.001,0.001,mauritius,0.001
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,mauritius,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,mauritius,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0.001,0,mauritius,0.0005
nMx - age-specific death rate between ages x and x+n,20-24 years,0.001,0,mauritius,0.0005
nMx - age-specific death rate between ages x and x+n,25-29 years,0.002,0.001,mauritius,0.0015
nMx - age-specific death rate between ages x and x+n,30-34 years,0.002,0.001,mauritius,0.0015
nMx - age-specific death rate between ages x and x+n,35-39 years,0.003,0.001,mauritius,0.002
nMx - age-specific death rate between ages x and x+n,40-44 years,0.004,0.002,mauritius,0.003
nMx - age-specific death rate between ages x and x+n,45-49 years,0.007,0.003,mauritius,0.005
nMx - age-specific death rate between ages x and x+n,50-54 years,0.01,0.004,mauritius,0.007
nMx - age-specific death rate between ages x and x+n,55-59 years,0.014,0.007,mauritius,0.0105
nMx - age-specific death rate between ages x and x+n,60-64 years,0.019,0.011,mauritius,0.015
nMx - age-specific death rate between ages x and x+n,65-69 years,0.027,0.016,mauritius,0.0215
nMx - age-specific death rate between ages x and x+n,70-74 years,0.04,0.027,mauritius,0.0335
nMx - age-specific death rate between ages x and x+n,75-79 years,0.06,0.041,mauritius,0.0505
nMx - age-specific death rate between ages x and x+n,80-84 years,0.099,0.075,mauritius,0.087
nMx - age-specific death rate between ages x and x+n,85+ years,0.185,0.154,mauritius,0.1695
nMx - age-specific death rate between ages x and x+n,<1 year,0.045,0.037,myanmar,0.041
nMx - age-specific death rate between ages x and x+n,01-04 years,0.003,0.003,myanmar,0.003
nMx - age-specific death rate between ages x and x+n,05-09 years,0.002,0.001,myanmar,0.0015
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,myanmar,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0.002,0.001,myanmar,0.0015
nMx - age-specific death rate between ages x and x+n,20-24 years,0.002,0.001,myanmar,0.0015
nMx - age-specific death rate between ages x and x+n,25-29 years,0.002,0.002,myanmar,0.002
nMx - age-specific death rate between ages x and x+n,30-34 years,0.003,0.002,myanmar,0.0025
nMx - age-specific death rate between ages x and x+n,35-39 years,0.004,0.003,myanmar,0.0035
nMx - age-specific death rate between ages x and x+n,40-44 years,0.005,0.003,myanmar,0.004
nMx - age-specific death rate between ages x and x+n,45-49 years,0.007,0.005,myanmar,0.006
nMx - age-specific death rate between ages x and x+n,50-54 years,0.011,0.007,myanmar,0.009
nMx - age-specific death rate between ages x and x+n,55-59 years,0.016,0.011,myanmar,0.0135
nMx - age-specific death rate between ages x and x+n,60-64 years,0.025,0.017,myanmar,0.021
nMx - age-specific death rate between ages x and x+n,65-69 years,0.039,0.028,myanmar,0.0335
nMx - age-specific death rate between ages x and x+n,70-74 years,0.061,0.047,myanmar,0.054
nMx - age-specific death rate between ages x and x+n,75-79 years,0.096,0.079,myanmar,0.0875
nMx - age-specific death rate between ages x and x+n,80-84 years,0.152,0.132,myanmar,0.142
nMx - age-specific death rate between ages x and x+n,85+ years,0.261,0.237,myanmar,0.249
nMx - age-specific death rate between ages x and x+n,<1 year,0.024,0.02,phillipines,0.022
nMx - age-specific death rate between ages x and x+n,01-04 years,0.002,0.001,phillipines,0.0015
nMx - age-specific death rate between ages x and x+n,05-09 years,0.001,0.001,phillipines,0.001
nMx - age-specific death rate between ages x and x+n,10-14 years,0.001,0.001,phillipines,0.001
nMx - age-specific death rate between ages x and x+n,15-19  years,0.001,0.001,phillipines,0.001
nMx - age-specific death rate between ages x and x+n,20-24 years,0.002,0.001,phillipines,0.0015
nMx - age-specific death rate between ages x and x+n,25-29 years,0.002,0.001,phillipines,0.0015
nMx - age-specific death rate between ages x and x+n,30-34 years,0.003,0.001,phillipines,0.002
nMx - age-specific death rate between ages x and x+n,35-39 years,0.004,0.002,phillipines,0.003
nMx - age-specific death rate between ages x and x+n,40-44 years,0.006,0.003,phillipines,0.0045
nMx - age-specific death rate between ages x and x+n,45-49 years,0.008,0.005,phillipines,0.0065
nMx - age-specific death rate between ages x and x+n,50-54 years,0.012,0.007,phillipines,0.0095
nMx - age-specific death rate between ages x and x+n,55-59 years,0.018,0.01,phillipines,0.014
nMx - age-specific death rate between ages x and x+n,60-64 years,0.029,0.015,phillipines,0.022
nMx - age-specific death rate between ages x and x+n,65-69 years,0.043,0.022,phillipines,0.0325
nMx - age-specific death rate between ages x and x+n,70-74 years,0.058,0.033,phillipines,0.0455
nMx - age-specific death rate between ages x and x+n,75-79 years,0.076,0.052,phillipines,0.064
nMx - age-specific death rate between ages x and x+n,80-84 years,0.16,0.129,phillipines,0.1445
nMx - age-specific death rate between ages x and x+n,85+ years,0.261,0.249,phillipines,0.255
nMx - age-specific death rate between ages x and x+n,<1 year,0.013,0.011,seychelles,0.012
nMx - age-specific death rate between ages x and x+n,01-04 years,0.001,0,seychelles,0.0005
nMx - age-specific death rate between ages x and x+n,05-09 years,0.001,0,seychelles,0.0005
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,seychelles,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0,0,seychelles,0
nMx - age-specific death rate between ages x and x+n,20-24 years,0.001,0,seychelles,0.0005
nMx - age-specific death rate between ages x and x+n,25-29 years,0.002,0.001,seychelles,0.0015
nMx - age-specific death rate between ages x and x+n,30-34 years,0.002,0.001,seychelles,0.0015
nMx - age-specific death rate between ages x and x+n,35-39 years,0.003,0.001,seychelles,0.002
nMx - age-specific death rate between ages x and x+n,40-44 years,0.006,0.002,seychelles,0.004
nMx - age-specific death rate between ages x and x+n,45-49 years,0.008,0.003,seychelles,0.0055
nMx - age-specific death rate between ages x and x+n,50-54 years,0.012,0.004,seychelles,0.008
nMx - age-specific death rate between ages x and x+n,55-59 years,0.019,0.006,seychelles,0.0125
nMx - age-specific death rate between ages x and x+n,60-64 years,0.027,0.009,seychelles,0.018
nMx - age-specific death rate between ages x and x+n,65-69 years,0.039,0.015,seychelles,0.027
nMx - age-specific death rate between ages x and x+n,70-74 years,0.053,0.026,seychelles,0.0395
nMx - age-specific death rate between ages x and x+n,75-79 years,0.071,0.046,seychelles,0.0585
nMx - age-specific death rate between ages x and x+n,80-84 years,0.095,0.077,seychelles,0.086
nMx - age-specific death rate between ages x and x+n,85+ years,0.179,0.167,seychelles,0.173
nMx - age-specific death rate between ages x and x+n,<1 year,0.009,0.008,srilanka,0.0085
nMx - age-specific death rate between ages x and x+n,01-04 years,0,0,srilanka,0
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,srilanka,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,srilanka,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0.001,0.001,srilanka,0.001
nMx - age-specific death rate between ages x and x+n,20-24 years,0.002,0.001,srilanka,0.0015
nMx - age-specific death rate between ages x and x+n,25-29 years,0.002,0.001,srilanka,0.0015
nMx - age-specific death rate between ages x and x+n,30-34 years,0.002,0.001,srilanka,0.0015
nMx - age-specific death rate between ages x and x+n,35-39 years,0.003,0.001,srilanka,0.002
nMx - age-specific death rate between ages x and x+n,40-44 years,0.004,0.001,srilanka,0.0025
nMx - age-specific death rate between ages x and x+n,45-49 years,0.006,0.002,srilanka,0.004
nMx - age-specific death rate between ages x and x+n,50-54 years,0.008,0.003,srilanka,0.0055
nMx - age-specific death rate between ages x and x+n,55-59 years,0.012,0.005,srilanka,0.0085
nMx - age-specific death rate between ages x and x+n,60-64 years,0.017,0.009,srilanka,0.013
nMx - age-specific death rate between ages x and x+n,65-69 years,0.026,0.016,srilanka,0.021
nMx - age-specific death rate between ages x and x+n,70-74 years,0.039,0.03,srilanka,0.0345
nMx - age-specific death rate between ages x and x+n,75-79 years,0.059,0.048,srilanka,0.0535
nMx - age-specific death rate between ages x and x+n,80-84 years,0.092,0.082,srilanka,0.087
nMx - age-specific death rate between ages x and x+n,85+ years,0.168,0.166,srilanka,0.167
nMx - age-specific death rate between ages x and x+n,<1 year,0.012,0.009,thailand,0.0105
nMx - age-specific death rate between ages x and x+n,01-04 years,0,0,thailand,0
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,thailand,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,thailand,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0.002,0,thailand,0.001
nMx - age-specific death rate between ages x and x+n,20-24 years,0.002,0.001,thailand,0.0015
nMx - age-specific death rate between ages x and x+n,25-29 years,0.003,0.001,thailand,0.002
nMx - age-specific death rate between ages x and x+n,30-34 years,0.004,0.001,thailand,0.0025
nMx - age-specific death rate between ages x and x+n,35-39 years,0.004,0.001,thailand,0.0025
nMx - age-specific death rate between ages x and x+n,40-44 years,0.005,0.002,thailand,0.0035
nMx - age-specific death rate between ages x and x+n,45-49 years,0.006,0.003,thailand,0.0045
nMx - age-specific death rate between ages x and x+n,50-54 years,0.008,0.004,thailand,0.006
nMx - age-specific death rate between ages x and x+n,55-59 years,0.011,0.006,thailand,0.0085
nMx - age-specific death rate between ages x and x+n,60-64 years,0.015,0.009,thailand,0.012
nMx - age-specific death rate between ages x and x+n,65-69 years,0.023,0.014,thailand,0.0185
nMx - age-specific death rate between ages x and x+n,70-74 years,0.035,0.023,thailand,0.029
nMx - age-specific death rate between ages x and x+n,75-79 years,0.054,0.037,thailand,0.0455
nMx - age-specific death rate between ages x and x+n,80-84 years,0.086,0.066,thailand,0.076
nMx - age-specific death rate between ages x and x+n,85+ years,0.163,0.142,thailand,0.1525
nMx - age-specific death rate between ages x and x+n,<1 year,0.048,0.041,timorLeste,0.0445
nMx - age-specific death rate between ages x and x+n,01-04 years,0.002,0.002,timorLeste,0.002
nMx - age-specific death rate between ages x and x+n,05-09 years,0.001,0.001,timorLeste,0.001
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,timorLeste,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0.001,0.001,timorLeste,0.001
nMx - age-specific death rate between ages x and x+n,20-24 years,0.002,0.001,timorLeste,0.0015
nMx - age-specific death rate between ages x and x+n,25-29 years,0.002,0.001,timorLeste,0.0015
nMx - age-specific death rate between ages x and x+n,30-34 years,0.002,0.001,timorLeste,0.0015
nMx - age-specific death rate between ages x and x+n,35-39 years,0.002,0.001,timorLeste,0.0015
nMx - age-specific death rate between ages x and x+n,40-44 years,0.003,0.002,timorLeste,0.0025
nMx - age-specific death rate between ages x and x+n,45-49 years,0.005,0.003,timorLeste,0.004
nMx - age-specific death rate between ages x and x+n,50-54 years,0.008,0.005,timorLeste,0.0065
nMx - age-specific death rate between ages x and x+n,55-59 years,0.014,0.01,timorLeste,0.012
nMx - age-specific death rate between ages x and x+n,60-64 years,0.022,0.016,timorLeste,0.019
nMx - age-specific death rate between ages x and x+n,65-69 years,0.036,0.027,timorLeste,0.0315
nMx - age-specific death rate between ages x and x+n,70-74 years,0.059,0.046,timorLeste,0.0525
nMx - age-specific death rate between ages x and x+n,75-79 years,0.095,0.079,timorLeste,0.087
nMx - age-specific death rate between ages x and x+n,80-84 years,0.149,0.129,timorLeste,0.139
nMx - age-specific death rate between ages x and x+n,85+ years,0.257,0.231,timorLeste,0.244
nMx - age-specific death rate between ages x and x+n,<1 year,0.019,0.016,vietnam,0.0175
nMx - age-specific death rate between ages x and x+n,01-04 years,0.001,0.001,vietnam,0.001
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,vietnam,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,vietnam,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0.001,0,vietnam,0.0005
nMx - age-specific death rate between ages x and x+n,20-24 years,0.002,0,vietnam,0.001
nMx - age-specific death rate between ages x and x+n,25-29 years,0.002,0.001,vietnam,0.0015
nMx - age-specific death rate between ages x and x+n,30-34 years,0.002,0.001,vietnam,0.0015
nMx - age-specific death rate between ages x and x+n,35-39 years,0.003,0.001,vietnam,0.002
nMx - age-specific death rate between ages x and x+n,40-44 years,0.004,0.001,vietnam,0.0025
nMx - age-specific death rate between ages x and x+n,45-49 years,0.005,0.002,vietnam,0.0035
nMx - age-specific death rate between ages x and x+n,50-54 years,0.008,0.003,vietnam,0.0055
nMx - age-specific death rate between ages x and x+n,55-59 years,0.012,0.005,vietnam,0.0085
nMx - age-specific death rate between ages x and x+n,60-64 years,0.017,0.008,vietnam,0.0125
nMx - age-specific death rate between ages x and x+n,65-69 years,0.027,0.013,vietnam,0.02
nMx - age-specific death rate between ages x and x+n,70-74 years,0.04,0.021,vietnam,0.0305
nMx - age-specific death rate between ages x and x+n,75-79 years,0.059,0.033,vietnam,0.046
nMx - age-specific death rate between ages x and x+n,80-84 years,0.085,0.052,vietnam,0.0685
nMx - age-specific death rate between ages x and x+n,85+ years,0.154,0.122,vietnam,0.138
nMx - age-specific death rate between ages x and x+n,<1 year,0.017,0.015,samoa,0.016
nMx - age-specific death rate between ages x and x+n,01-04 years,0.001,0.001,samoa,0.001
nMx - age-specific death rate between ages x and x+n,05-09 years,0.001,0,samoa,0.0005
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,samoa,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0,0,samoa,0
nMx - age-specific death rate between ages x and x+n,20-24 years,0.001,0,samoa,0.0005
nMx - age-specific death rate between ages x and x+n,25-29 years,0.001,0,samoa,0.0005
nMx - age-specific death rate between ages x and x+n,30-34 years,0.001,0.001,samoa,0.001
nMx - age-specific death rate between ages x and x+n,35-39 years,0.001,0.001,samoa,0.001
nMx - age-specific death rate between ages x and x+n,40-44 years,0.002,0.001,samoa,0.0015
nMx - age-specific death rate between ages x and x+n,45-49 years,0.004,0.002,samoa,0.003
nMx - age-specific death rate between ages x and x+n,50-54 years,0.007,0.004,samoa,0.0055
nMx - age-specific death rate between ages x and x+n,55-59 years,0.012,0.006,samoa,0.009
nMx - age-specific death rate between ages x and x+n,60-64 years,0.021,0.01,samoa,0.0155
nMx - age-specific death rate between ages x and x+n,65-69 years,0.033,0.016,samoa,0.0245
nMx - age-specific death rate between ages x and x+n,70-74 years,0.05,0.026,samoa,0.038
nMx - age-specific death rate between ages x and x+n,75-79 years,0.075,0.041,samoa,0.058
nMx - age-specific death rate between ages x and x+n,80-84 years,0.112,0.071,samoa,0.0915
nMx - age-specific death rate between ages x and x+n,85+ years,0.2,0.15,samoa,0.175
nMx - age-specific death rate between ages x and x+n,<1 year,0.03,0.026,micronesia,0.028
nMx - age-specific death rate between ages x and x+n,01-04 years,0.001,0.002,micronesia,0.0015
nMx - age-specific death rate between ages x and x+n,05-09 years,0.001,0.001,micronesia,0.001
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,micronesia,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0.001,0.001,micronesia,0.001
nMx - age-specific death rate between ages x and x+n,20-24 years,0.002,0.001,micronesia,0.0015
nMx - age-specific death rate between ages x and x+n,25-29 years,0.002,0.001,micronesia,0.0015
nMx - age-specific death rate between ages x and x+n,30-34 years,0.002,0.002,micronesia,0.002
nMx - age-specific death rate between ages x and x+n,35-39 years,0.002,0.002,micronesia,0.002
nMx - age-specific death rate between ages x and x+n,40-44 years,0.003,0.003,micronesia,0.003
nMx - age-specific death rate between ages x and x+n,45-49 years,0.005,0.005,micronesia,0.005
nMx - age-specific death rate between ages x and x+n,50-54 years,0.009,0.007,micronesia,0.008
nMx - age-specific death rate between ages x and x+n,55-59 years,0.014,0.01,micronesia,0.012
nMx - age-specific death rate between ages x and x+n,60-64 years,0.022,0.016,micronesia,0.019
nMx - age-specific death rate between ages x and x+n,65-69 years,0.035,0.027,micronesia,0.031
nMx - age-specific death rate between ages x and x+n,70-74 years,0.056,0.045,micronesia,0.0505
nMx - age-specific death rate between ages x and x+n,75-79 years,0.089,0.077,micronesia,0.083
nMx - age-specific death rate between ages x and x+n,80-84 years,0.143,0.129,micronesia,0.136
nMx - age-specific death rate between ages x and x+n,85+ years,0.254,0.235,micronesia,0.2445
nMx - age-specific death rate between ages x and x+n,<1 year,0.021,0.018,fiji,0.0195
nMx - age-specific death rate between ages x and x+n,01-04 years,0.001,0.001,fiji,0.001
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,fiji,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0.001,0,fiji,0.0005
nMx - age-specific death rate between ages x and x+n,15-19  years,0.001,0.001,fiji,0.001
nMx - age-specific death rate between ages x and x+n,20-24 years,0.002,0.001,fiji,0.0015
nMx - age-specific death rate between ages x and x+n,25-29 years,0.002,0.001,fiji,0.0015
nMx - age-specific death rate between ages x and x+n,30-34 years,0.002,0.001,fiji,0.0015
nMx - age-specific death rate between ages x and x+n,35-39 years,0.003,0.002,fiji,0.0025
nMx - age-specific death rate between ages x and x+n,40-44 years,0.005,0.003,fiji,0.004
nMx - age-specific death rate between ages x and x+n,45-49 years,0.008,0.004,fiji,0.006
nMx - age-specific death rate between ages x and x+n,50-54 years,0.012,0.007,fiji,0.0095
nMx - age-specific death rate between ages x and x+n,55-59 years,0.019,0.01,fiji,0.0145
nMx - age-specific death rate between ages x and x+n,60-64 years,0.028,0.016,fiji,0.022
nMx - age-specific death rate between ages x and x+n,65-69 years,0.043,0.025,fiji,0.034
nMx - age-specific death rate between ages x and x+n,70-74 years,0.064,0.04,fiji,0.052
nMx - age-specific death rate between ages x and x+n,75-79 years,0.095,0.065,fiji,0.08
nMx - age-specific death rate between ages x and x+n,80-84 years,0.143,0.106,fiji,0.1245
nMx - age-specific death rate between ages x and x+n,85+ years,0.237,0.199,fiji,0.218
nMx - age-specific death rate between ages x and x+n,<1 year,0.053,0.046,kiribati,0.0495
nMx - age-specific death rate between ages x and x+n,01-04 years,0.003,0.003,kiribati,0.003
nMx - age-specific death rate between ages x and x+n,05-09 years,0.002,0.001,kiribati,0.0015
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,kiribati,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0.002,0.001,kiribati,0.0015
nMx - age-specific death rate between ages x and x+n,20-24 years,0.003,0.001,kiribati,0.002
nMx - age-specific death rate between ages x and x+n,25-29 years,0.003,0.002,kiribati,0.0025
nMx - age-specific death rate between ages x and x+n,30-34 years,0.003,0.002,kiribati,0.0025
