Indicator,Age Group,Male,Female,,both
nMx - age-specific death rate between ages x and x+n,35-39 years,0.004,0.002,kazakhstan,0.003
nMx - age-specific death rate between ages x and x+n,40-44 years,0.006,0.002,kazakhstan,0.004
nMx - age-specific death rate between ages x and x+n,45-49 years,0.007,0.003,kazakhstan,0.005
nMx - age-specific death rate between ages x and x+n,50-54 years,0.011,0.004,kazakhstan,0.0075
nMx - age-specific death rate between ages x and x+n,55-59 years,0.016,0.007,kazakhstan,0.0115
nMx - age-specific death rate between ages x and x+n,60-64 years,0.025,0.012,kazakhstan,0.0185
nMx - age-specific death rate between ages x and x+n,65-69 years,0.043,0.019,kazakhstan,0.031
nMx - age-specific death rate between ages x and x+n,70-74 years,0.057,0.033,kazakhstan,0.045
nMx - age-specific death rate between ages x and x+n,75-79 years,0.086,0.055,kazakhstan,0.0705
nMx - age-specific death rate between ages x and x+n,80-84 years,0.153,0.115,kazakhstan,0.134
nMx - age-specific death rate between ages x and x+n,85+ years,0.283,0.238,kazakhstan,0.2605
nMx - age-specific death rate between ages x and x+n,<1 year,0.018,0.012,mongolia,0.015
nMx - age-specific death rate between ages x and x+n,01-04 years,0.001,0.001,mongolia,0.001
nMx - age-specific death rate between ages x and x+n,05-09 years,0.001,0,mongolia,0.0005
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,mongolia,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0.001,0,mongolia,0.0005
nMx - age-specific death rate between ages x and x+n,20-24 years,0.001,0,mongolia,0.0005
nMx - age-specific death rate between ages x and x+n,25-29 years,0.002,0.001,mongolia,0.0015
nMx - age-specific death rate between ages x and x+n,30-34 years,0.003,0.001,mongolia,0.002
nMx - age-specific death rate between ages x and x+n,35-39 years,0.004,0.001,mongolia,0.0025
nMx - age-specific death rate between ages x and x+n,40-44 years,0.007,0.002,mongolia,0.0045
nMx - age-specific death rate between ages x and x+n,45-49 years,0.011,0.004,mongolia,0.0075
nMx - age-specific death rate between ages x and x+n,50-54 years,0.017,0.007,mongolia,0.012
nMx - age-specific death rate between ages x and x+n,55-59 years,0.023,0.01,mongolia,0.0165
nMx - age-specific death rate between ages x and x+n,60-64 years,0.032,0.016,mongolia,0.024
nMx - age-specific death rate between ages x and x+n,65-69 years,0.042,0.023,mongolia,0.0325
nMx - age-specific death rate between ages x and x+n,70-74 years,0.066,0.042,mongolia,0.054
nMx - age-specific death rate between ages x and x+n,75-79 years,0.098,0.066,mongolia,0.082
nMx - age-specific death rate between ages x and x+n,80-84 years,0.141,0.104,mongolia,0.1225
nMx - age-specific death rate between ages x and x+n,85+ years,0.228,0.19,mongolia,0.209
nMx - age-specific death rate between ages x and x+n,<1 year,0.042,0.035,tajikistan,0.0385
nMx - age-specific death rate between ages x and x+n,01-04 years,0.002,0.001,tajikistan,0.0015
nMx - age-specific death rate between ages x and x+n,05-09 years,0.001,0,tajikistan,0.0005
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,tajikistan,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0.001,0,tajikistan,0.0005
nMx - age-specific death rate between ages x and x+n,20-24 years,0.001,0,tajikistan,0.0005
nMx - age-specific death rate between ages x and x+n,25-29 years,0.001,0.001,tajikistan,0.001
nMx - age-specific death rate between ages x and x+n,30-34 years,0.002,0.001,tajikistan,0.0015
nMx - age-specific death rate between ages x and x+n,35-39 years,0.002,0.001,tajikistan,0.0015
nMx - age-specific death rate between ages x and x+n,40-44 years,0.003,0.002,tajikistan,0.0025
nMx - age-specific death rate between ages x and x+n,45-49 years,0.005,0.003,tajikistan,0.004
nMx - age-specific death rate between ages x and x+n,50-54 years,0.007,0.004,tajikistan,0.0055
nMx - age-specific death rate between ages x and x+n,55-59 years,0.013,0.008,tajikistan,0.0105
nMx - age-specific death rate between ages x and x+n,60-64 years,0.018,0.013,tajikistan,0.0155
nMx - age-specific death rate between ages x and x+n,65-69 years,0.044,0.032,tajikistan,0.038
nMx - age-specific death rate between ages x and x+n,70-74 years,0.052,0.038,tajikistan,0.045
nMx - age-specific death rate between ages x and x+n,75-79 years,0.084,0.085,tajikistan,0.0845
nMx - age-specific death rate between ages x and x+n,80-84 years,0.145,0.094,tajikistan,0.1195
nMx - age-specific death rate between ages x and x+n,85+ years,0.229,0.173,tajikistan,0.201
nMx - age-specific death rate between ages x and x+n,<1 year,0.048,0.033,turkmenistan,0.0405
nMx - age-specific death rate between ages x and x+n,01-04 years,0.002,0.002,turkmenistan,0.002
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,turkmenistan,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,turkmenistan,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0.001,0.001,turkmenistan,0.001
nMx - age-specific death rate between ages x and x+n,20-24 years,0.001,0.001,turkmenistan,0.001
nMx - age-specific death rate between ages x and x+n,25-29 years,0.002,0.001,turkmenistan,0.0015
nMx - age-specific death rate between ages x and x+n,30-34 years,0.002,0.001,turkmenistan,0.0015
nMx - age-specific death rate between ages x and x+n,35-39 years,0.004,0.002,turkmenistan,0.003
nMx - age-specific death rate between ages x and x+n,40-44 years,0.006,0.003,turkmenistan,0.0045
nMx - age-specific death rate between ages x and x+n,45-49 years,0.008,0.004,turkmenistan,0.006
nMx - age-specific death rate between ages x and x+n,50-54 years,0.014,0.006,turkmenistan,0.01
nMx - age-specific death rate between ages x and x+n,55-59 years,0.02,0.01,turkmenistan,0.015
nMx - age-specific death rate between ages x and x+n,60-64 years,0.031,0.016,turkmenistan,0.0235
nMx - age-specific death rate between ages x and x+n,65-69 years,0.039,0.025,turkmenistan,0.032
nMx - age-specific death rate between ages x and x+n,70-74 years,0.07,0.055,turkmenistan,0.0625
nMx - age-specific death rate between ages x and x+n,75-79 years,0.084,0.063,turkmenistan,0.0735
nMx - age-specific death rate between ages x and x+n,80-84 years,0.127,0.091,turkmenistan,0.109
nMx - age-specific death rate between ages x and x+n,85+ years,0.213,0.178,turkmenistan,0.1955
nMx - age-specific death rate between ages x and x+n,<1 year,0.02,0.017,kyrgyzstan,0.0185
nMx - age-specific death rate between ages x and x+n,01-04 years,0.001,0.001,kyrgyzstan,0.001
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,kyrgyzstan,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,kyrgyzstan,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0.001,0,kyrgyzstan,0.0005
nMx - age-specific death rate between ages x and x+n,20-24 years,0.001,0.001,kyrgyzstan,0.001
nMx - age-specific death rate between ages x and x+n,25-29 years,0.002,0.001,kyrgyzstan,0.0015
nMx - age-specific death rate between ages x and x+n,30-34 years,0.002,0.001,kyrgyzstan,0.0015
nMx - age-specific death rate between ages x and x+n,35-39 years,0.004,0.002,kyrgyzstan,0.003
nMx - age-specific death rate between ages x and x+n,40-44 years,0.006,0.002,kyrgyzstan,0.004
nMx - age-specific death rate between ages x and x+n,45-49 years,0.007,0.003,kyrgyzstan,0.005
nMx - age-specific death rate between ages x and x+n,50-54 years,0.011,0.004,kyrgyzstan,0.0075
nMx - age-specific death rate between ages x and x+n,55-59 years,0.016,0.007,kyrgyzstan,0.0115
nMx - age-specific death rate between ages x and x+n,60-64 years,0.025,0.012,kyrgyzstan,0.0185
nMx - age-specific death rate between ages x and x+n,65-69 years,0.043,0.019,kyrgyzstan,0.031
nMx - age-specific death rate between ages x and x+n,70-74 years,0.057,0.033,kyrgyzstan,0.045
nMx - age-specific death rate between ages x and x+n,75-79 years,0.086,0.055,kyrgyzstan,0.0705
nMx - age-specific death rate between ages x and x+n,80-84 years,0.153,0.115,kyrgyzstan,0.134
nMx - age-specific death rate between ages x and x+n,85+ years,0.283,0.238,kyrgyzstan,0.2605
nMx - age-specific death rate between ages x and x+n,<1 year,0.025,0.02,uzbekistan,0.0225
nMx - age-specific death rate between ages x and x+n,01-04 years,0.001,0.001,uzbekistan,0.001
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,uzbekistan,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,uzbekistan,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0.001,0.001,uzbekistan,0.001
nMx - age-specific death rate between ages x and x+n,20-24 years,0.001,0.001,uzbekistan,0.001
nMx - age-specific death rate between ages x and x+n,25-29 years,0.001,0.001,uzbekistan,0.001
nMx - age-specific death rate between ages x and x+n,30-34 years,0.002,0.001,uzbekistan,0.0015
nMx - age-specific death rate between ages x and x+n,35-39 years,0.002,0.001,uzbekistan,0.0015
nMx - age-specific death rate between ages x and x+n,40-44 years,0.003,0.002,uzbekistan,0.0025
nMx - age-specific death rate between ages x and x+n,45-49 years,0.005,0.003,uzbekistan,0.004
nMx - age-specific death rate between ages x and x+n,50-54 years,0.009,0.004,uzbekistan,0.0065
nMx - age-specific death rate between ages x and x+n,55-59 years,0.012,0.007,uzbekistan,0.0095
nMx - age-specific death rate between ages x and x+n,60-64 years,0.025,0.015,uzbekistan,0.02
nMx - age-specific death rate between ages x and x+n,65-69 years,0.034,0.022,uzbekistan,0.028
nMx - age-specific death rate between ages x and x+n,70-74 years,0.061,0.043,uzbekistan,0.052
nMx - age-specific death rate between ages x and x+n,75-79 years,0.086,0.062,uzbekistan,0.074
nMx - age-specific death rate between ages x and x+n,80-84 years,0.127,0.087,uzbekistan,0.107
nMx - age-specific death rate between ages x and x+n,85+ years,0.182,0.151,uzbekistan,0.1665
nMx - age-specific death rate between ages x and x+n,<1 year,0.012,0.01,albania,0.011
nMx - age-specific death rate between ages x and x+n,01-04 years,0,0,albania,0
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,albania,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,albania,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0.001,0.001,albania,0.001
nMx - age-specific death rate between ages x and x+n,20-24 years,0.001,0.001,albania,0.001
nMx - age-specific death rate between ages x and x+n,25-29 years,0.001,0.001,albania,0.001
nMx - age-specific death rate between ages x and x+n,30-34 years,0.001,0.001,albania,0.001
nMx - age-specific death rate between ages x and x+n,35-39 years,0.002,0.001,albania,0.0015
nMx - age-specific death rate between ages x and x+n,40-44 years,0.003,0.001,albania,0.002
nMx - age-specific death rate between ages x and x+n,45-49 years,0.004,0.002,albania,0.003
nMx - age-specific death rate between ages x and x+n,50-54 years,0.006,0.003,albania,0.0045
nMx - age-specific death rate between ages x and x+n,55-59 years,0.008,0.005,albania,0.0065
nMx - age-specific death rate between ages x and x+n,60-64 years,0.014,0.007,albania,0.0105
nMx - age-specific death rate between ages x and x+n,65-69 years,0.021,0.013,albania,0.017
nMx - age-specific death rate between ages x and x+n,70-74 years,0.035,0.025,albania,0.03
nMx - age-specific death rate between ages x and x+n,75-79 years,0.061,0.038,albania,0.0495
nMx - age-specific death rate between ages x and x+n,80-84 years,0.125,0.089,albania,0.107
nMx - age-specific death rate between ages x and x+n,85+ years,0.24,0.198,albania,0.219
nMx - age-specific death rate between ages x and x+n,<1 year,0.006,0.005,bosandherz,0.0055
nMx - age-specific death rate between ages x and x+n,01-04 years,0,0,bosandherz,0
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,bosandherz,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,bosandherz,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0,0,bosandherz,0
nMx - age-specific death rate between ages x and x+n,20-24 years,0.001,0,bosandherz,0.0005
nMx - age-specific death rate between ages x and x+n,25-29 years,0.001,0,bosandherz,0.0005
nMx - age-specific death rate between ages x and x+n,30-34 years,0.001,0,bosandherz,0.0005
nMx - age-specific death rate between ages x and x+n,35-39 years,0.001,0.001,bosandherz,0.001
nMx - age-specific death rate between ages x and x+n,40-44 years,0.002,0.001,bosandherz,0.0015
nMx - age-specific death rate between ages x and x+n,45-49 years,0.004,0.002,bosandherz,0.003
nMx - age-specific death rate between ages x and x+n,50-54 years,0.006,0.003,bosandherz,0.0045
nMx - age-specific death rate between ages x and x+n,55-59 years,0.011,0.005,bosandherz,0.008
nMx - age-specific death rate between ages x and x+n,60-64 years,0.017,0.007,bosandherz,0.012
nMx - age-specific death rate between ages x and x+n,65-69 years,0.026,0.013,bosandherz,0.0195
nMx - age-specific death rate between ages x and x+n,70-74 years,0.049,0.031,bosandherz,0.04
nMx - age-specific death rate between ages x and x+n,75-79 years,0.062,0.046,bosandherz,0.054
nMx - age-specific death rate between ages x and x+n,80-84 years,0.099,0.078,bosandherz,0.0885
nMx - age-specific death rate between ages x and x+n,85+ years,0.186,0.168,bosandherz,0.177
nMx - age-specific death rate between ages x and x+n,<1 year,0.004,0.003,croatia,0.0035
nMx - age-specific death rate between ages x and x+n,01-04 years,0,0,croatia,0
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,croatia,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,croatia,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0,0,croatia,0
nMx - age-specific death rate between ages x and x+n,20-24 years,0.001,0,croatia,0.0005
nMx - age-specific death rate between ages x and x+n,25-29 years,0.001,0,croatia,0.0005
nMx - age-specific death rate between ages x and x+n,30-34 years,0.001,0,croatia,0.0005
nMx - age-specific death rate between ages x and x+n,35-39 years,0.001,0.001,croatia,0.001
nMx - age-specific death rate between ages x and x+n,40-44 years,0.002,0.001,croatia,0.0015
nMx - age-specific death rate between ages x and x+n,45-49 years,0.004,0.002,croatia,0.003
nMx - age-specific death rate between ages x and x+n,50-54 years,0.006,0.003,croatia,0.0045
nMx - age-specific death rate between ages x and x+n,55-59 years,0.011,0.004,croatia,0.0075
nMx - age-specific death rate between ages x and x+n,60-64 years,0.017,0.007,croatia,0.012
nMx - age-specific death rate between ages x and x+n,65-69 years,0.025,0.011,croatia,0.018
nMx - age-specific death rate between ages x and x+n,70-74 years,0.04,0.02,croatia,0.03
nMx - age-specific death rate between ages x and x+n,75-79 years,0.064,0.037,croatia,0.0505
nMx - age-specific death rate between ages x and x+n,80-84 years,0.105,0.073,croatia,0.089
nMx - age-specific death rate between ages x and x+n,85+ years,0.19,0.163,croatia,0.1765
nMx - age-specific death rate between ages x and x+n,<1 year,0.003,0.002,czechia,0.0025
nMx - age-specific death rate between ages x and x+n,01-04 years,0,0,czechia,0
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,czechia,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,czechia,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0,0,czechia,0
nMx - age-specific death rate between ages x and x+n,20-24 years,0.001,0,czechia,0.0005
nMx - age-specific death rate between ages x and x+n,25-29 years,0.001,0,czechia,0.0005
nMx - age-specific death rate between ages x and x+n,30-34 years,0.001,0,czechia,0.0005
nMx - age-specific death rate between ages x and x+n,35-39 years,0.001,0.001,czechia,0.001
nMx - age-specific death rate between ages x and x+n,40-44 years,0.002,0.001,czechia,0.0015
nMx - age-specific death rate between ages x and x+n,45-49 years,0.003,0.002,czechia,0.0025
nMx - age-specific death rate between ages x and x+n,50-54 years,0.005,0.003,czechia,0.004
nMx - age-specific death rate between ages x and x+n,55-59 years,0.009,0.004,czechia,0.0065
nMx - age-specific death rate between ages x and x+n,60-64 years,0.015,0.007,czechia,0.011
nMx - age-specific death rate between ages x and x+n,65-69 years,0.024,0.011,czechia,0.0175
nMx - age-specific death rate between ages x and x+n,70-74 years,0.036,0.018,czechia,0.027
nMx - age-specific death rate between ages x and x+n,75-79 years,0.057,0.033,czechia,0.045
nMx - age-specific death rate between ages x and x+n,80-84 years,0.087,0.061,czechia,0.074
nMx - age-specific death rate between ages x and x+n,85+ years,0.189,0.164,czechia,0.1765
nMx - age-specific death rate between ages x and x+n,<1 year,0.005,0.004,hungary,0.0045
nMx - age-specific death rate between ages x and x+n,01-04 years,0,0,hungary,0
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,hungary,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,hungary,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0,0,hungary,0
nMx - age-specific death rate between ages x and x+n,20-24 years,0.001,0,hungary,0.0005
nMx - age-specific death rate between ages x and x+n,25-29 years,0.001,0,hungary,0.0005
nMx - age-specific death rate between ages x and x+n,30-34 years,0.001,0,hungary,0.0005
nMx - age-specific death rate between ages x and x+n,35-39 years,0.001,0.001,hungary,0.001
nMx - age-specific death rate between ages x and x+n,40-44 years,0.002,0.001,hungary,0.0015
nMx - age-specific death rate between ages x and x+n,45-49 years,0.005,0.002,hungary,0.0035
nMx - age-specific death rate between ages x and x+n,50-54 years,0.01,0.004,hungary,0.007
nMx - age-specific death rate between ages x and x+n,55-59 years,0.017,0.007,hungary,0.012
nMx - age-specific death rate between ages x and x+n,60-64 years,0.024,0.011,hungary,0.0175
nMx - age-specific death rate between ages x and x+n,65-69 years,0.036,0.016,hungary,0.026
nMx - age-specific death rate between ages x and x+n,70-74 years,0.047,0.023,hungary,0.035
nMx - age-specific death rate between ages x and x+n,75-79 years,0.07,0.041,hungary,0.0555
nMx - age-specific death rate between ages x and x+n,80-84 years,0.11,0.075,hungary,0.0925
nMx - age-specific death rate between ages x and x+n,85+ years,0.203,0.174,hungary,0.1885
nMx - age-specific death rate between ages x and x+n,<1 year,0.009,0.008,macedonia,0.0085
nMx - age-specific death rate between ages x and x+n,01-04 years,0,0,macedonia,0
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,macedonia,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,macedonia,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0,0,macedonia,0
nMx - age-specific death rate between ages x and x+n,20-24 years,0.001,0,macedonia,0.0005
nMx - age-specific death rate between ages x and x+n,25-29 years,0.001,0,macedonia,0.0005
nMx - age-specific death rate between ages x and x+n,30-34 years,0.001,0,macedonia,0.0005
nMx - age-specific death rate between ages x and x+n,35-39 years,0.001,0.001,macedonia,0.001
nMx - age-specific death rate between ages x and x+n,40-44 years,0.002,0.001,macedonia,0.0015
nMx - age-specific death rate between ages x and x+n,45-49 years,0.004,0.002,macedonia,0.003
nMx - age-specific death rate between ages x and x+n,50-54 years,0.006,0.004,macedonia,0.005
nMx - age-specific death rate between ages x and x+n,55-59 years,0.011,0.005,macedonia,0.008
nMx - age-specific death rate between ages x and x+n,60-64 years,0.018,0.009,macedonia,0.0135
nMx - age-specific death rate between ages x and x+n,65-69 years,0.025,0.015,macedonia,0.02
nMx - age-specific death rate between ages x and x+n,70-74 years,0.041,0.029,macedonia,0.035
nMx - age-specific death rate between ages x and x+n,75-79 years,0.078,0.06,macedonia,0.069
nMx - age-specific death rate between ages x and x+n,80-84 years,0.131,0.103,macedonia,0.117
nMx - age-specific death rate between ages x and x+n,85+ years,0.249,0.217,macedonia,0.233
nMx - age-specific death rate between ages x and x+n,<1 year,0.004,0.004,montenegro,0.004
nMx - age-specific death rate between ages x and x+n,01-04 years,0,0,montenegro,0
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,montenegro,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,montenegro,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0,0,montenegro,0
nMx - age-specific death rate between ages x and x+n,20-24 years,0.001,0,montenegro,0.0005
nMx - age-specific death rate between ages x and x+n,25-29 years,0.001,0,montenegro,0.0005
nMx - age-specific death rate between ages x and x+n,30-34 years,0.001,0,montenegro,0.0005
nMx - age-specific death rate between ages x and x+n,35-39 years,0.001,0.001,montenegro,0.001
nMx - age-specific death rate between ages x and x+n,40-44 years,0.002,0.001,montenegro,0.0015
nMx - age-specific death rate between ages x and x+n,45-49 years,0.004,0.002,montenegro,0.003
nMx - age-specific death rate between ages x and x+n,50-54 years,0.007,0.004,montenegro,0.0055
nMx - age-specific death rate between ages x and x+n,55-59 years,0.01,0.005,montenegro,0.0075
nMx - age-specific death rate between ages x and x+n,60-64 years,0.016,0.008,montenegro,0.012
nMx - age-specific death rate between ages x and x+n,65-69 years,0.029,0.015,montenegro,0.022
nMx - age-specific death rate between ages x and x+n,70-74 years,0.043,0.026,montenegro,0.0345
nMx - age-specific death rate between ages x and x+n,75-79 years,0.062,0.044,montenegro,0.053
nMx - age-specific death rate between ages x and x+n,80-84 years,0.108,0.086,montenegro,0.097
nMx - age-specific death rate between ages x and x+n,85+ years,0.214,0.22,montenegro,0.217
nMx - age-specific death rate between ages x and x+n,<1 year,0.004,0.004,poland,0.004
nMx - age-specific death rate between ages x and x+n,01-04 years,0,0,poland,0
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,poland,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,poland,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0.001,0,poland,0.0005
nMx - age-specific death rate between ages x and x+n,20-24 years,0.001,0,poland,0.0005
nMx - age-specific death rate between ages x and x+n,25-29 years,0.001,0,poland,0.0005
nMx - age-specific death rate between ages x and x+n,30-34 years,0.001,0,poland,0.0005
nMx - age-specific death rate between ages x and x+n,35-39 years,0.002,0.001,poland,0.0015
nMx - age-specific death rate between ages x and x+n,40-44 years,0.003,0.001,poland,0.002
nMx - age-specific death rate between ages x and x+n,45-49 years,0.005,0.002,poland,0.0035
nMx - age-specific death rate between ages x and x+n,50-54 years,0.008,0.003,poland,0.0055
nMx - age-specific death rate between ages x and x+n,55-59 years,0.013,0.005,poland,0.009
nMx - age-specific death rate between ages x and x+n,60-64 years,0.02,0.009,poland,0.0145
nMx - age-specific death rate between ages x and x+n,65-69 years,0.027,0.012,poland,0.0195
nMx - age-specific death rate between ages x and x+n,70-74 years,0.041,0.019,poland,0.03
nMx - age-specific death rate between ages x and x+n,75-79 years,0.057,0.03,poland,0.0435
nMx - age-specific death rate between ages x and x+n,80-84 years,0.09,0.059,poland,0.0745
nMx - age-specific death rate between ages x and x+n,85+ years,0.182,0.156,poland,0.169
nMx - age-specific death rate between ages x and x+n,<1 year,0.009,0.006,romania,0.0075
nMx - age-specific death rate between ages x and x+n,01-04 years,0,0,romania,0
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,romania,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,romania,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0.001,0,romania,0.0005
nMx - age-specific death rate between ages x and x+n,20-24 years,0.001,0,romania,0.0005
